[18:45:10.408], STTP, 2, , , , , , store_share, CPU: 0.007448 ms, wall: 0.005956 ms, 1
[18:45:10.409], STTP, 2, <--, MIX, 7, list, e8ad94bb, SETUP, , , 1
[18:45:10.409], STTP, 2, , , , , , store_share, CPU: 0.006887 ms, wall: 0.004958 ms, 1
[18:45:10.410], STTP, 2, <--, MIX, 9, list, dfba7e27, SETUP, , , 1
[18:45:10.410], STTP, 2, , , , , , store_share, CPU: 0.006962 ms, wall: 0.005202 ms, 1
[18:45:10.411], STTP, 2, <--, MIX, 15, list, bc3242a3, SETUP, , , 1
[18:45:10.411], STTP, 2, , , , , , store_share, CPU: 0.007146 ms, wall: 0.005132 ms, 1
[18:45:10.412], STTP, 2, <--, MIX, 18, list, e1a054a0, SETUP, , , 1
[18:45:10.412], STTP, 2, , , , , , store_share, CPU: 0.006044 ms, wall: 0.004759 ms, 1
[18:45:10.413], STTP, 2, <--, MIX, 14, list, f16d779d, SETUP, , , 1
[18:45:10.413], STTP, 2, , , , , , store_share, CPU: 0.006885 ms, wall: 0.005001 ms, 1
[18:45:10.414], STTP, 2, <--, MIX, 44, list, 4b4a8c93, SETUP, , , 1
[18:45:10.414], STTP, 2, , , , , , store_share, CPU: 0.006227 ms, wall: 0.004936 ms, 1
[18:45:10.415], STTP, 2, <--, MIX, 45, list, 20c45226, SETUP, , , 1
[18:45:10.415], STTP, 2, , , , , , store_share, CPU: 0.005615 ms, wall: 0.004752 ms, 1
[18:45:10.416], STTP, 2, <--, MIX, 22, list, 4b5f20c1, SETUP, , , 1
[18:45:10.416], STTP, 2, , , , , , store_share, CPU: 0.006924 ms, wall: 0.005475 ms, 1
[18:45:10.417], STTP, 2, <--, MIX, 49, list, efa35943, SETUP, , , 1
[18:45:10.417], STTP, 2, , , , , , store_share, CPU: 0.006394 ms, wall: 0.005385 ms, 1
[18:45:10.419], STTP, 2, <--, MIX, 31, list, ded34159, SETUP, , , 1
[18:45:10.419], STTP, 2, , , , , , store_share, CPU: 0.006688 ms, wall: 0.005133 ms, 1
[18:45:10.420], STTP, 2, <--, MIX, 39, list, 0a6229f0, SETUP, , , 1
[18:45:10.420], STTP, 2, , , , , , store_share, CPU: 0.006393 ms, wall: 0.004915 ms, 1
[18:45:10.421], STTP, 2, <--, MIX, 50, list, 484579c3, SETUP, , , 1
[18:45:10.421], STTP, 2, , , , , , store_share, CPU: 0.006001 ms, wall: 0.004894 ms, 1
[18:45:10.422], STTP, 2, <--, MIX, 17, list, 83439633, SETUP, , , 1
[18:45:10.422], STTP, 2, , , , , , store_share, CPU: 0.006288 ms, wall: 0.004981 ms, 1
[18:45:10.423], STTP, 2, <--, MIX, 3, list, 6b5b0f55, SETUP, , , 1
[18:45:10.423], STTP, 2, , , , , , store_share, CPU: 0.006228 ms, wall: 0.004981 ms, 1
[18:45:10.425], STTP, 2, <--, MIX, 20, list, e63f8153, SETUP, , , 1
[18:45:10.426], STTP, 2, , , , , , store_share, CPU: 0.007647 ms, wall: 0.005623 ms, 1
[18:45:10.434], STTP, 2, <--, MIX, 47, list, 0014ecc2, SETUP, , , 1
[18:45:10.434], STTP, 2, , , , , , store_share, CPU: 0.003909 ms, wall: 0.002906 ms, 1
[18:45:10.518], STTP, 2, <--, MIX, 11, list, 3c5d806c, SETUP, , , 1
[18:45:10.518], STTP, 2, , , , , , store_share, CPU: 0.037891 ms, wall: 0.036181 ms, 1
[18:45:12.564], STTP, 2, <--, CLIENT, 1, list, bd48eb5b, ROUTE, , , 1
[18:45:12.564], STTP, 2, -->, CLIENT, 1, list, bc0e7eeb, ROUTE, , , 1
[18:45:12.565], STTP, 2, , , , , , send_share, CPU: 0.814504 ms, wall: 0.830266 ms, 1
[18:45:12.834], STTP, 2, <--, CLIENT, 67, list, 14e04559, ROUTE, , , 1
[18:45:12.835], STTP, 2, -->, CLIENT, 67, list, f1ad3361, ROUTE, , , 1
[18:45:12.835], STTP, 2, , , , , , send_share, CPU: 0.751034 ms, wall: 0.761431 ms, 1
[18:45:12.860], STTP, 2, <--, CLIENT, 42, list, 3d1d269d, ROUTE, , , 1
[18:45:12.862], STTP, 2, -->, CLIENT, 42, list, 56bed4b1, ROUTE, , , 1
[18:45:12.863], STTP, 2, , , , , , send_share, CPU: 2.263144 ms, wall: 2.291153 ms, 1
[18:45:12.885], STTP, 2, <--, CLIENT, 36, list, 52c3f289, ROUTE, , , 1
[18:45:12.886], STTP, 2, -->, CLIENT, 36, list, 3d23be0a, ROUTE, , , 1
