[18:45:10.423], STTP, 17, , , , , , store_share, CPU: 0.003076 ms, wall: 0.002700 ms, 1
[18:45:10.423], STTP, 17, <--, MIX, 44, list, f6155e68, SETUP, , , 1
[18:45:10.423], STTP, 17, , , , , , store_share, CPU: 0.002016 ms, wall: 0.001636 ms, 1
[18:45:10.423], STTP, 17, <--, MIX, 10, list, 4417c0f4, SETUP, , , 1
[18:45:10.423], STTP, 17, , , , , , store_share, CPU: 0.002218 ms, wall: 0.001803 ms, 1
[18:45:10.424], STTP, 17, <--, MIX, 35, list, 6d33e26d, SETUP, , , 1
[18:45:10.424], STTP, 17, , , , , , store_share, CPU: 0.001998 ms, wall: 0.001652 ms, 1
[18:45:10.424], STTP, 17, <--, MIX, 9, list, a2fa51d1, SETUP, , , 1
[18:45:10.424], STTP, 17, , , , , , store_share, CPU: 0.001983 ms, wall: 0.001682 ms, 1
[18:45:10.424], STTP, 17, <--, MIX, 39, list, abb9c11a, SETUP, , , 1
[18:45:10.424], STTP, 17, , , , , , store_share, CPU: 0.001909 ms, wall: 0.001594 ms, 1
[18:45:10.425], STTP, 17, <--, MIX, 49, list, ffc93def, SETUP, , , 1
[18:45:10.425], STTP, 17, , , , , , store_share, CPU: 0.001648 ms, wall: 0.001509 ms, 1
[18:45:10.425], STTP, 17, <--, MIX, 32, list, f70bd887, SETUP, , , 1
[18:45:10.425], STTP, 17, , , , , , store_share, CPU: 0.001788 ms, wall: 0.001533 ms, 1
[18:45:10.425], STTP, 17, <--, MIX, 22, list, 4af5b224, SETUP, , , 1
[18:45:10.425], STTP, 17, , , , , , store_share, CPU: 0.002367 ms, wall: 0.002033 ms, 1
[18:45:10.426], STTP, 17, <--, MIX, 15, list, 90f04cbf, SETUP, , , 1
[18:45:10.426], STTP, 17, , , , , , store_share, CPU: 0.001804 ms, wall: 0.001639 ms, 1
[18:45:10.426], STTP, 17, <--, MIX, 50, list, 629dbbe7, SETUP, , , 1
[18:45:10.426], STTP, 17, , , , , , store_share, CPU: 0.001856 ms, wall: 0.001643 ms, 1
[18:45:10.426], STTP, 17, <--, MIX, 17, list, 66ac7994, SETUP, , , 1
[18:45:10.426], STTP, 17, , , , , , store_share, CPU: 0.002246 ms, wall: 0.001809 ms, 1
[18:45:10.427], STTP, 17, <--, MIX, 31, list, 2ed3e2e8, SETUP, , , 1
[18:45:10.427], STTP, 17, , , , , , store_share, CPU: 0.001751 ms, wall: 0.001522 ms, 1
[18:45:10.427], STTP, 17, <--, MIX, 12, list, b3caec1d, SETUP, , , 1
[18:45:10.427], STTP, 17, , , , , , store_share, CPU: 0.002050 ms, wall: 0.001733 ms, 1
[18:45:10.429], STTP, 17, <--, MIX, 3, list, d020cd4d, SETUP, , , 1
[18:45:10.430], STTP, 17, , , , , , store_share, CPU: 0.002998 ms, wall: 0.002189 ms, 1
[18:45:10.452], STTP, 17, <--, MIX, 20, list, 76775df0, SETUP, , , 1
[18:45:10.452], STTP, 17, , , , , , store_share, CPU: 0.004825 ms, wall: 0.003742 ms, 1
[18:45:10.458], STTP, 17, <--, MIX, 47, list, 7e0c475a, SETUP, , , 1
[18:45:10.458], STTP, 17, , , , , , store_share, CPU: 0.007729 ms, wall: 0.005703 ms, 1
[18:45:10.559], STTP, 17, <--, MIX, 11, list, 89efdb46, SETUP, , , 1
[18:45:10.559], STTP, 17, , , , , , store_share, CPU: 0.029367 ms, wall: 0.028118 ms, 1
[18:45:12.334], STTP, 17, <--, CLIENT, 4, list, 85db7534, ROUTE, , , 1
[18:45:12.335], STTP, 17, -->, CLIENT, 4, list, 620b18d7, ROUTE, , , 1
[18:45:12.336], STTP, 17, , , , , , send_share, CPU: 1.147900 ms, wall: 1.173728 ms, 1
[18:45:12.355], STTP, 17, <--, CLIENT, 7, list, be72bd79, ROUTE, , , 1
[18:45:12.356], STTP, 17, -->, CLIENT, 7, list, eb6e8df3, ROUTE, , , 1
[18:45:12.357], STTP, 17, , , , , , send_share, CPU: 1.072755 ms, wall: 1.088600 ms, 1
[18:45:12.539], STTP, 17, <--, CLIENT, 87, list, d0c89cc3, ROUTE, , , 1
[18:45:12.541], STTP, 17, -->, CLIENT, 87, list, dfcc240e, ROUTE, , , 1
[18:45:12.542], STTP, 17, , , , , , send_share, CPU: 2.245337 ms, wall: 2.281127 ms, 1
[18:45:12.542], STTP, 17, <--, CLIENT, 85, list, fa539e38, ROUTE, , , 1
[18:45:12.544], STTP, 17, -->, CLIENT, 85, list, 65319fe6, ROUTE, , , 1
[18:45:12.544], STTP, 17, , , , , , send_share, CPU: 2.133546 ms, wall: 2.159797 ms, 1
[18:45:12.564], STTP, 17, <--, CLIENT, 1, list, bd48eb5b, ROUTE, , , 1
[18:45:12.565], STTP, 17, -->, CLIENT, 1, list, 5feb1298, ROUTE, , , 1
[18:45:12.566], STTP, 17, , , , , , send_share, CPU: 1.284204 ms, wall: 1.322495 ms, 1
[18:45:12.920], STTP, 17, <--, CLIENT, 13, list, b3d2f6b8, ROUTE, , , 1
[18:45:12.921], STTP, 17, -->, CLIENT, 13, list, 88984ed3, ROUTE, , , 1
[18:45:12.922], STTP, 17, , , , , , send_share, CPU: 1.805661 ms, wall: 1.843904 ms, 1
[18:45:12.957], STTP, 17, <--, CLIENT, 93, list, 8458fa1c, ROUTE, , , 1
[18:45:12.959], STTP, 17, -->, CLIENT, 93, list, 98b0c137, ROUTE, , , 1
[18:45:12.959], STTP, 17, , , , , , send_share, CPU: 1.721224 ms, wall: 1.765575 ms, 1
[18:45:12.963], STTP, 17, <--, CLIENT, 15, list, 94afbdb6, ROUTE, , , 1
[18:45:12.965], STTP, 17, -->, CLIENT, 15, list, 5a797fbd, ROUTE, , , 1
[18:45:12.965], STTP, 17, , , , , , send_share, CPU: 1.729533 ms, wall: 1.772123 ms, 1
[18:45:12.988], STTP, 17, <--, CLIENT, 26, list, c42d0595, ROUTE, , , 1
[18:45:12.989], STTP, 17, -->, CLIENT, 26, list, 9994686e, ROUTE, , , 1
[18:45:12.990], STTP, 17, , , , , , send_share, CPU: 1.226767 ms, wall: 1.242962 ms, 1
[18:45:12.995], STTP, 17, <--, CLIENT, 21, list, a42ca0ab, ROUTE, , , 1
[18:45:12.997], STTP, 17, -->, CLIENT, 21, list, 08701d2e, ROUTE, , , 1
[18:45:12.998], STTP, 17, , , , , , send_share, CPU: 2.201484 ms, wall: 2.317394 ms, 1
[18:45:12.999], STTP, 17, <--, CLIENT, 40, list, efbab566, ROUTE, , , 1
