[18:45:10.384], STTP, 9, , , , , , store_share, CPU: 0.007055 ms, wall: 0.005701 ms, 1
[18:45:10.388], STTP, 9, <--, MIX, 44, list, c3a64984, SETUP, , , 1
[18:45:10.388], STTP, 9, , , , , , store_share, CPU: 0.006625 ms, wall: 0.005328 ms, 1
[18:45:10.389], STTP, 9, <--, MIX, 23, list, 59bea210, SETUP, , , 1
[18:45:10.389], STTP, 9, , , , , , store_share, CPU: 0.006167 ms, wall: 0.005012 ms, 1
[18:45:10.390], STTP, 9, <--, MIX, 27, list, 97ee02d8, SETUP, , , 1
[18:45:10.392], STTP, 9, , , , , , store_share, CPU: 0.006875 ms, wall: 0.005361 ms, 1
[18:45:10.396], STTP, 9, <--, MIX, 9, list, d573614d, SETUP, , , 1
[18:45:10.396], STTP, 9, , , , , , store_share, CPU: 0.003675 ms, wall: 0.002910 ms, 1
[18:45:10.398], STTP, 9, <--, MIX, 31, list, d308e0c6, SETUP, , , 1
[18:45:10.398], STTP, 9, , , , , , store_share, CPU: 0.004426 ms, wall: 0.003387 ms, 1
[18:45:10.399], STTP, 9, <--, MIX, 39, list, 5067be66, SETUP, , , 1
[18:45:10.408], STTP, 9, , , , , , store_share, CPU: 0.004732 ms, wall: 0.003873 ms, 1
[18:45:10.409], STTP, 9, <--, MIX, 49, list, ba64210c, SETUP, , , 1
[18:45:10.409], STTP, 9, , , , , , store_share, CPU: 0.003937 ms, wall: 0.002943 ms, 1
[18:45:10.409], STTP, 9, <--, MIX, 12, list, ff12b5c6, SETUP, , , 1
[18:45:10.409], STTP, 9, , , , , , store_share, CPU: 0.004001 ms, wall: 0.003120 ms, 1
[18:45:10.410], STTP, 9, <--, MIX, 22, list, a7fc8caa, SETUP, , , 1
[18:45:10.410], STTP, 9, , , , , , store_share, CPU: 0.003373 ms, wall: 0.002774 ms, 1
[18:45:10.411], STTP, 9, <--, MIX, 32, list, 7d50b2ed, SETUP, , , 1
[18:45:10.411], STTP, 9, , , , , , store_share, CPU: 0.002735 ms, wall: 0.002244 ms, 1
[18:45:10.411], STTP, 9, <--, MIX, 15, list, 0ea98910, SETUP, , , 1
[18:45:10.411], STTP, 9, , , , , , store_share, CPU: 0.002381 ms, wall: 0.001941 ms, 1
[18:45:10.414], STTP, 9, <--, MIX, 50, list, 1ff18c1b, SETUP, , , 1
[18:45:10.414], STTP, 9, , , , , , store_share, CPU: 0.004056 ms, wall: 0.003174 ms, 1
[18:45:10.417], STTP, 9, <--, MIX, 17, list, 631933ae, SETUP, , , 1
[18:45:10.418], STTP, 9, , , , , , store_share, CPU: 0.004385 ms, wall: 0.003172 ms, 1
[18:45:10.424], STTP, 9, <--, MIX, 3, list, 3e47e140, SETUP, , , 1
[18:45:10.424], STTP, 9, , , , , , store_share, CPU: 0.003983 ms, wall: 0.002992 ms, 1
[18:45:10.437], STTP, 9, <--, MIX, 20, list, 80396afb, SETUP, , , 1
[18:45:10.437], STTP, 9, , , , , , store_share, CPU: 0.003829 ms, wall: 0.002698 ms, 1
[18:45:10.445], STTP, 9, <--, MIX, 47, list, 5400bdd4, SETUP, , , 1
[18:45:10.446], STTP, 9, , , , , , store_share, CPU: 0.007864 ms, wall: 0.005840 ms, 1
[18:45:10.538], STTP, 9, <--, MIX, 11, list, 4f541094, SETUP, , , 1
[18:45:10.539], STTP, 9, , , , , , store_share, CPU: 0.037237 ms, wall: 0.035782 ms, 1
[18:45:12.538], STTP, 9, <--, CLIENT, 3, list, a3c052b4, ROUTE, , , 1
[18:45:12.540], STTP, 9, -->, CLIENT, 3, list, faf628f8, ROUTE, , , 1
[18:45:12.541], STTP, 9, , , , , , send_share, CPU: 2.305533 ms, wall: 2.347830 ms, 1
[18:45:12.541], STTP, 9, <--, CLIENT, 87, list, d0c89cc3, ROUTE, , , 1
[18:45:12.543], STTP, 9, -->, CLIENT, 87, list, 4c58e27c, ROUTE, , , 1
[18:45:12.544], STTP, 9, , , , , , send_share, CPU: 2.195501 ms, wall: 2.223169 ms, 1
[18:45:12.885], STTP, 9, <--, CLIENT, 36, list, 52c3f289, ROUTE, , , 1
[18:45:12.887], STTP, 9, -->, CLIENT, 36, list, 3edc685c, ROUTE, , , 1
[18:45:12.887], STTP, 9, , , , , , send_share, CPU: 1.594582 ms, wall: 1.633641 ms, 1
[18:45:12.933], STTP, 9, <--, CLIENT, 51, list, 7b3586d8, ROUTE, , , 1
[18:45:12.934], STTP, 9, -->, CLIENT, 51, list, aae0287d, ROUTE, , , 1
[18:45:12.934], STTP, 9, , , , , , send_share, CPU: 0.792865 ms, wall: 0.829804 ms, 1
[18:45:12.940], STTP, 9, <--, CLIENT, 54, list, 6452ae61, ROUTE, , , 1
[18:45:12.941], STTP, 9, -->, CLIENT, 54, list, 45914e3e, ROUTE, , , 1
[18:45:12.941], STTP, 9, , , , , , send_share, CPU: 0.775537 ms, wall: 0.788633 ms, 1
[18:45:12.957], STTP, 9, <--, CLIENT, 93, list, 8458fa1c, ROUTE, , , 1
[18:45:12.958], STTP, 9, -->, CLIENT, 93, list, fc6d499c, ROUTE, , , 1
[18:45:12.958], STTP, 9, , , , , , send_share, CPU: 0.755298 ms, wall: 0.769493 ms, 1
[18:45:12.978], STTP, 9, <--, CLIENT, 69, list, dd5d5a5d, ROUTE, , , 1
[18:45:12.978], STTP, 9, -->, CLIENT, 69, list, 8274f698, ROUTE, , , 1
[18:45:12.979], STTP, 9, , , , , , send_share, CPU: 0.731865 ms, wall: 0.746573 ms, 1
[18:45:13.070], STTP, 9, <--, CLIENT, 71, list, 330b28f3, ROUTE, , , 1
[18:45:13.071], STTP, 9, -->, CLIENT, 71, list, 8902f6e5, ROUTE, , , 1
[18:45:13.072], STTP, 9, , , , , , send_share, CPU: 0.929463 ms, wall: 0.945002 ms, 1
[18:45:13.072], STTP, 9, <--, CLIENT, 99, list, 007160a0, ROUTE, , , 1
[18:45:13.072], STTP, 9, -->, CLIENT, 99, list, ca2135f4, ROUTE, , , 1
[18:45:13.073], STTP, 9, , , , , , send_share, CPU: 0.803593 ms, wall: 0.818478 ms, 1
