[18:45:10.388], STTP, 7, , , , , , store_share, CPU: 0.002378 ms, wall: 0.001875 ms, 1
[18:45:10.388], STTP, 7, <--, MIX, 45, list, 916a3c56, SETUP, , , 1
[18:45:10.388], STTP, 7, , , , , , store_share, CPU: 0.001800 ms, wall: 0.001523 ms, 1
[18:45:10.388], STTP, 7, <--, MIX, 44, list, 32818334, SETUP, , , 1
[18:45:10.388], STTP, 7, , , , , , store_share, CPU: 0.002000 ms, wall: 0.001722 ms, 1
[18:45:10.389], STTP, 7, <--, MIX, 23, list, 428aaf9b, SETUP, , , 1
[18:45:10.389], STTP, 7, , , , , , store_share, CPU: 0.002348 ms, wall: 0.002005 ms, 1
[18:45:10.389], STTP, 7, <--, MIX, 22, list, ff79a4dc, SETUP, , , 1
[18:45:10.389], STTP, 7, , , , , , store_share, CPU: 0.001677 ms, wall: 0.001473 ms, 1
[18:45:10.389], STTP, 7, <--, MIX, 27, list, 853d2ecd, SETUP, , , 1
[18:45:10.389], STTP, 7, , , , , , store_share, CPU: 0.001636 ms, wall: 0.001390 ms, 1
[18:45:10.395], STTP, 7, <--, MIX, 31, list, 5627abce, SETUP, , , 1
[18:45:10.395], STTP, 7, , , , , , store_share, CPU: 0.004848 ms, wall: 0.003511 ms, 1
[18:45:10.396], STTP, 7, <--, MIX, 9, list, 415e4947, SETUP, , , 1
[18:45:10.396], STTP, 7, , , , , , store_share, CPU: 0.003604 ms, wall: 0.002880 ms, 1
[18:45:10.396], STTP, 7, <--, MIX, 39, list, d4442857, SETUP, , , 1
[18:45:10.400], STTP, 7, , , , , , store_share, CPU: 0.031911 ms, wall: 0.012677 ms, 1
[18:45:10.400], STTP, 7, <--, MIX, 15, list, 7f6e8c36, SETUP, , , 1
[18:45:10.401], STTP, 7, , , , , , store_share, CPU: 0.004331 ms, wall: 0.003028 ms, 1
[18:45:10.401], STTP, 7, <--, MIX, 32, list, 4dcbb3f6, SETUP, , , 1
[18:45:10.401], STTP, 7, , , , , , store_share, CPU: 0.004192 ms, wall: 0.003112 ms, 1
[18:45:10.402], STTP, 7, <--, MIX, 49, list, b4424a51, SETUP, , , 1
[18:45:10.402], STTP, 7, , , , , , store_share, CPU: 0.003379 ms, wall: 0.002834 ms, 1
[18:45:10.407], STTP, 7, <--, MIX, 17, list, 686e6e79, SETUP, , , 1
[18:45:10.412], STTP, 7, , , , , , store_share, CPU: 0.004159 ms, wall: 0.003597 ms, 1
[18:45:10.413], STTP, 7, <--, MIX, 50, list, dc65a782, SETUP, , , 1
[18:45:10.413], STTP, 7, , , , , , store_share, CPU: 0.004231 ms, wall: 0.003450 ms, 1
[18:45:10.422], STTP, 7, <--, MIX, 3, list, a935a47c, SETUP, , , 1
[18:45:10.422], STTP, 7, , , , , , store_share, CPU: 0.005009 ms, wall: 0.003795 ms, 1
[18:45:10.434], STTP, 7, <--, MIX, 20, list, 8671d84a, SETUP, , , 1
[18:45:10.434], STTP, 7, , , , , , store_share, CPU: 0.003452 ms, wall: 0.002692 ms, 1
[18:45:10.442], STTP, 7, <--, MIX, 47, list, 99ec078d, SETUP, , , 1
[18:45:10.442], STTP, 7, , , , , , store_share, CPU: 0.003398 ms, wall: 0.002530 ms, 1
[18:45:10.531], STTP, 7, <--, MIX, 11, list, 5202d73d, SETUP, , , 1
[18:45:10.532], STTP, 7, , , , , , store_share, CPU: 0.036459 ms, wall: 0.034602 ms, 1
[18:45:12.295], STTP, 7, <--, CLIENT, 6, list, 7db8d568, ROUTE, , , 1
[18:45:12.297], STTP, 7, -->, CLIENT, 6, list, a2a76272, ROUTE, , , 1
[18:45:12.298], STTP, 7, , , , , , send_share, CPU: 2.265365 ms, wall: 2.295373 ms, 1
[18:45:12.539], STTP, 7, <--, CLIENT, 3, list, a3c052b4, ROUTE, , , 1
[18:45:12.540], STTP, 7, -->, CLIENT, 3, list, 9246d5f1, ROUTE, , , 1
[18:45:12.540], STTP, 7, , , , , , send_share, CPU: 0.852933 ms, wall: 0.859010 ms, 1
[18:45:12.540], STTP, 7, <--, CLIENT, 87, list, d0c89cc3, ROUTE, , , 1
[18:45:12.541], STTP, 7, -->, CLIENT, 87, list, ca43d87c, ROUTE, , , 1
[18:45:12.541], STTP, 7, , , , , , send_share, CPU: 0.796706 ms, wall: 0.808130 ms, 1
[18:45:12.645], STTP, 7, <--, CLIENT, 53, list, a72be044, ROUTE, , , 1
[18:45:12.647], STTP, 7, -->, CLIENT, 53, list, 279be6b7, ROUTE, , , 1
[18:45:12.648], STTP, 7, , , , , , send_share, CPU: 2.078636 ms, wall: 2.128871 ms, 1
[18:45:12.888], STTP, 7, <--, CLIENT, 25, list, 30f0704c, ROUTE, , , 1
[18:45:12.889], STTP, 7, -->, CLIENT, 25, list, a533ff81, ROUTE, , , 1
[18:45:12.889], STTP, 7, , , , , , send_share, CPU: 0.960636 ms, wall: 0.986563 ms, 1
[18:45:12.907], STTP, 7, <--, CLIENT, 10, list, fb083119, ROUTE, , , 1
[18:45:12.908], STTP, 7, -->, CLIENT, 10, list, 58d8f667, ROUTE, , , 1
[18:45:12.908], STTP, 7, , , , , , send_share, CPU: 0.753427 ms, wall: 0.765254 ms, 1
[18:45:12.978], STTP, 7, <--, CLIENT, 69, list, dd5d5a5d, ROUTE, , , 1
[18:45:12.980], STTP, 7, -->, CLIENT, 69, list, 30fbedf4, ROUTE, , , 1
[18:45:12.980], STTP, 7, , , , , , send_share, CPU: 2.324929 ms, wall: 2.424923 ms, 1
[18:45:12.987], STTP, 7, <--, CLIENT, 39, list, c0937eb9, ROUTE, , , 1
[18:45:12.989], STTP, 7, -->, CLIENT, 39, list, 1955d25e, ROUTE, , , 1
[18:45:12.990], STTP, 7, , , , , , send_share, CPU: 2.222971 ms, wall: 2.266279 ms, 1
