[18:45:10.362], STTP, 4, , , , , , store_share, CPU: 0.034451 ms, wall: 0.015810 ms, 1
[18:45:10.363], STTP, 4, <--, MIX, 15, list, e6c4f889, SETUP, , , 1
[18:45:10.366], STTP, 4, , , , , , store_share, CPU: 0.025976 ms, wall: 0.012592 ms, 1
[18:45:10.367], STTP, 4, <--, MIX, 18, list, 902987cf, SETUP, , , 1
[18:45:10.367], STTP, 4, , , , , , store_share, CPU: 0.006419 ms, wall: 0.005249 ms, 1
[18:45:10.368], STTP, 4, <--, MIX, 14, list, ae8dbe8c, SETUP, , , 1
[18:45:10.372], STTP, 4, , , , , , store_share, CPU: 0.043112 ms, wall: 0.018402 ms, 1
[18:45:10.375], STTP, 4, <--, MIX, 44, list, 48823c53, SETUP, , , 1
[18:45:10.375], STTP, 4, , , , , , store_share, CPU: 0.007301 ms, wall: 0.005701 ms, 1
[18:45:10.378], STTP, 4, <--, MIX, 45, list, 52bf404e, SETUP, , , 1
[18:45:10.378], STTP, 4, , , , , , store_share, CPU: 0.006830 ms, wall: 0.005357 ms, 1
[18:45:10.383], STTP, 4, <--, MIX, 22, list, d2db1eae, SETUP, , , 1
[18:45:10.383], STTP, 4, , , , , , store_share, CPU: 0.004593 ms, wall: 0.003714 ms, 1
[18:45:10.385], STTP, 4, <--, MIX, 32, list, ac9efa03, SETUP, , , 1
[18:45:10.386], STTP, 4, , , , , , store_share, CPU: 0.003793 ms, wall: 0.002882 ms, 1
[18:45:10.388], STTP, 4, <--, MIX, 49, list, 6c3e177d, SETUP, , , 1
[18:45:10.388], STTP, 4, , , , , , store_share, CPU: 0.003659 ms, wall: 0.002786 ms, 1
[18:45:10.388], STTP, 4, <--, MIX, 9, list, fb652aa4, SETUP, , , 1
[18:45:10.388], STTP, 4, , , , , , store_share, CPU: 0.004050 ms, wall: 0.003373 ms, 1
[18:45:10.389], STTP, 4, <--, MIX, 31, list, 61961f3f, SETUP, , , 1
[18:45:10.390], STTP, 4, , , , , , store_share, CPU: 0.003191 ms, wall: 0.002613 ms, 1
[18:45:10.392], STTP, 4, <--, MIX, 39, list, 37ed12d9, SETUP, , , 1
[18:45:10.393], STTP, 4, , , , , , store_share, CPU: 0.004590 ms, wall: 0.003440 ms, 1
[18:45:10.405], STTP, 4, <--, MIX, 17, list, 9f27e96a, SETUP, , , 1
[18:45:10.405], STTP, 4, , , , , , store_share, CPU: 0.004766 ms, wall: 0.003611 ms, 1
[18:45:10.406], STTP, 4, <--, MIX, 50, list, 78bbfe77, SETUP, , , 1
[18:45:10.406], STTP, 4, , , , , , store_share, CPU: 0.003548 ms, wall: 0.002936 ms, 1
[18:45:10.416], STTP, 4, <--, MIX, 3, list, 08c7b8db, SETUP, , , 1
[18:45:10.416], STTP, 4, , , , , , store_share, CPU: 0.004206 ms, wall: 0.003292 ms, 1
[18:45:10.428], STTP, 4, <--, MIX, 20, list, 0598ef90, SETUP, , , 1
[18:45:10.428], STTP, 4, , , , , , store_share, CPU: 0.003514 ms, wall: 0.002619 ms, 1
[18:45:10.437], STTP, 4, <--, MIX, 47, list, db9c950a, SETUP, , , 1
[18:45:10.438], STTP, 4, , , , , , store_share, CPU: 0.004587 ms, wall: 0.003416 ms, 1
[18:45:10.521], STTP, 4, <--, MIX, 11, list, cba0073d, SETUP, , , 1
[18:45:10.522], STTP, 4, , , , , , store_share, CPU: 0.038020 ms, wall: 0.036651 ms, 1
[18:45:12.539], STTP, 4, <--, CLIENT, 85, list, fa539e38, ROUTE, , , 1
[18:45:12.539], STTP, 4, -->, CLIENT, 85, list, 3808a97a, ROUTE, , , 1
[18:45:12.540], STTP, 4, , , , , , send_share, CPU: 1.073487 ms, wall: 1.093603 ms, 1
[18:45:12.563], STTP, 4, <--, CLIENT, 1, list, bd48eb5b, ROUTE, , , 1
[18:45:12.565], STTP, 4, -->, CLIENT, 1, list, d2993b00, ROUTE, , , 1
[18:45:12.565], STTP, 4, , , , , , send_share, CPU: 2.227878 ms, wall: 2.262344 ms, 1
[18:45:12.665], STTP, 4, <--, CLIENT, 56, list, c9bca064, ROUTE, , , 1
[18:45:12.666], STTP, 4, -->, CLIENT, 56, list, f8c66e3f, ROUTE, , , 1
[18:45:12.666], STTP, 4, , , , , , send_share, CPU: 0.731904 ms, wall: 0.737247 ms, 1
[18:45:12.706], STTP, 4, <--, CLIENT, 44, list, f4c7a294, ROUTE, , , 1
[18:45:12.707], STTP, 4, -->, CLIENT, 44, list, 0b44b170, ROUTE, , , 1
[18:45:12.707], STTP, 4, , , , , , send_share, CPU: 0.800639 ms, wall: 0.811349 ms, 1
[18:45:12.767], STTP, 4, <--, CLIENT, 45, list, 75a33c3e, ROUTE, , , 1
