[18:45:10.411], STTP, 19, , , , , , store_share, CPU: 0.006509 ms, wall: 0.005234 ms, 1
[18:45:10.412], STTP, 19, <--, MIX, 10, list, 1103131c, SETUP, , , 1
[18:45:10.412], STTP, 19, , , , , , store_share, CPU: 0.005883 ms, wall: 0.004670 ms, 1
[18:45:10.413], STTP, 19, <--, MIX, 35, list, 1a885d21, SETUP, , , 1
[18:45:10.413], STTP, 19, , , , , , store_share, CPU: 0.006240 ms, wall: 0.004851 ms, 1
[18:45:10.414], STTP, 19, <--, MIX, 9, list, 4a2c08b5, SETUP, , , 1
[18:45:10.414], STTP, 19, , , , , , store_share, CPU: 0.006394 ms, wall: 0.004965 ms, 1
[18:45:10.415], STTP, 19, <--, MIX, 39, list, 11ced042, SETUP, , , 1
[18:45:10.415], STTP, 19, , , , , , store_share, CPU: 0.006260 ms, wall: 0.005092 ms, 1
[18:45:10.417], STTP, 19, <--, MIX, 49, list, df0ae802, SETUP, , , 1
[18:45:10.418], STTP, 19, , , , , , store_share, CPU: 0.003758 ms, wall: 0.003025 ms, 1
[18:45:10.419], STTP, 19, <--, MIX, 22, list, 001d9ce9, SETUP, , , 1
[18:45:10.419], STTP, 19, , , , , , store_share, CPU: 0.004050 ms, wall: 0.003389 ms, 1
[18:45:10.419], STTP, 19, <--, MIX, 32, list, 0fd99929, SETUP, , , 1
[18:45:10.419], STTP, 19, , , , , , store_share, CPU: 0.002790 ms, wall: 0.002103 ms, 1
[18:45:10.420], STTP, 19, <--, MIX, 44, list, 34469308, SETUP, , , 1
[18:45:10.420], STTP, 19, , , , , , store_share, CPU: 0.003011 ms, wall: 0.002683 ms, 1
[18:45:10.421], STTP, 19, <--, MIX, 50, list, 4dd970e6, SETUP, , , 1
[18:45:10.421], STTP, 19, , , , , , store_share, CPU: 0.003789 ms, wall: 0.002754 ms, 1
[18:45:10.422], STTP, 19, <--, MIX, 15, list, b6708f64, SETUP, , , 1
[18:45:10.422], STTP, 19, , , , , , store_share, CPU: 0.003574 ms, wall: 0.002744 ms, 1
[18:45:10.422], STTP, 19, <--, MIX, 17, list, 1db734ec, SETUP, , , 1
[18:45:10.422], STTP, 19, , , , , , store_share, CPU: 0.004073 ms, wall: 0.003090 ms, 1
[18:45:10.427], STTP, 19, <--, MIX, 31, list, eed319d8, SETUP, , , 1
[18:45:10.427], STTP, 19, , , , , , store_share, CPU: 0.007457 ms, wall: 0.005831 ms, 1
[18:45:10.428], STTP, 19, <--, MIX, 12, list, 7ef29dc8, SETUP, , , 1
[18:45:10.428], STTP, 19, , , , , , store_share, CPU: 0.006847 ms, wall: 0.005271 ms, 1
[18:45:10.432], STTP, 19, <--, MIX, 3, list, f1d45e2c, SETUP, , , 1
[18:45:10.432], STTP, 19, , , , , , store_share, CPU: 0.007280 ms, wall: 0.005865 ms, 1
[18:45:10.456], STTP, 19, <--, MIX, 20, list, 0efcf64d, SETUP, , , 1
[18:45:10.456], STTP, 19, , , , , , store_share, CPU: 0.005908 ms, wall: 0.003431 ms, 1
[18:45:10.460], STTP, 19, <--, MIX, 47, list, 3f9a5d70, SETUP, , , 1
[18:45:10.460], STTP, 19, , , , , , store_share, CPU: 0.003936 ms, wall: 0.003095 ms, 1
[18:45:10.566], STTP, 19, <--, MIX, 11, list, 95f99e7c, SETUP, , , 1
[18:45:10.569], STTP, 19, , , , , , store_share, CPU: 0.038001 ms, wall: 0.036331 ms, 1
[18:45:12.539], STTP, 19, <--, CLIENT, 3, list, a3c052b4, ROUTE, , , 1
[18:45:12.541], STTP, 19, -->, CLIENT, 3, list, c08427d7, ROUTE, , , 1
[18:45:12.542], STTP, 19, , , , , , send_share, CPU: 2.297375 ms, wall: 2.338494 ms, 1
[18:45:12.542], STTP, 19, <--, CLIENT, 20, list, 5d3d0408, ROUTE, , , 1
[18:45:12.543], STTP, 19, -->, CLIENT, 20, list, 5e2466a2, ROUTE, , , 1
[18:45:12.544], STTP, 19, , , , , , send_share, CPU: 1.109930 ms, wall: 1.143123 ms, 1
[18:45:12.630], STTP, 19, <--, CLIENT, 37, list, 8e549920, ROUTE, , , 1
[18:45:12.631], STTP, 19, -->, CLIENT, 37, list, 917bb9ef, ROUTE, , , 1
[18:45:12.631], STTP, 19, , , , , , send_share, CPU: 0.750613 ms, wall: 0.764136 ms, 1
[18:45:12.645], STTP, 19, <--, CLIENT, 53, list, a72be044, ROUTE, , , 1
[18:45:12.645], STTP, 19, -->, CLIENT, 53, list, 4c138d71, ROUTE, , , 1
[18:45:12.646], STTP, 19, , , , , , send_share, CPU: 0.722359 ms, wall: 0.729662 ms, 1
[18:45:12.664], STTP, 19, <--, CLIENT, 56, list, c9bca064, ROUTE, , , 1
[18:45:12.665], STTP, 19, -->, CLIENT, 56, list, dc20bb23, ROUTE, , , 1
[18:45:12.665], STTP, 19, , , , , , send_share, CPU: 0.726727 ms, wall: 0.739670 ms, 1
[18:45:12.706], STTP, 19, <--, CLIENT, 44, list, f4c7a294, ROUTE, , , 1
[18:45:12.707], STTP, 19, -->, CLIENT, 44, list, 19e2cbaf, ROUTE, , , 1
[18:45:12.707], STTP, 19, , , , , , send_share, CPU: 0.779857 ms, wall: 0.793631 ms, 1
[18:45:12.754], STTP, 19, <--, CLIENT, 91, list, 92150671, ROUTE, , , 1
[18:45:12.756], STTP, 19, -->, CLIENT, 91, list, 2add67de, ROUTE, , , 1
[18:45:12.757], STTP, 19, , , , , , send_share, CPU: 2.112406 ms, wall: 2.136334 ms, 1
[18:45:12.784], STTP, 19, <--, CLIENT, 14, list, 7f2ca755, ROUTE, , , 1
[18:45:12.785], STTP, 19, -->, CLIENT, 14, list, 776e0f08, ROUTE, , , 1
[18:45:12.785], STTP, 19, , , , , , send_share, CPU: 0.940504 ms, wall: 0.962161 ms, 1
[18:45:12.831], STTP, 19, <--, CLIENT, 27, list, 2541202f, ROUTE, , , 1
[18:45:12.832], STTP, 19, -->, CLIENT, 27, list, 7723b2dc, ROUTE, , , 1
[18:45:12.832], STTP, 19, , , , , , send_share, CPU: 0.773547 ms, wall: 0.788566 ms, 1
[18:45:12.860], STTP, 19, <--, CLIENT, 42, list, 3d1d269d, ROUTE, , , 1
[18:45:12.862], STTP, 19, -->, CLIENT, 42, list, b4b98fac, ROUTE, , , 1
[18:45:12.863], STTP, 19, , , , , , send_share, CPU: 2.298032 ms, wall: 2.341504 ms, 1
[18:45:12.940], STTP, 19, <--, CLIENT, 54, list, 6452ae61, ROUTE, , , 1
[18:45:12.942], STTP, 19, -->, CLIENT, 54, list, a187a06e, ROUTE, , , 1
