[18:45:10.405], STTP, 16, , , , , , store_share, CPU: 0.004561 ms, wall: 0.003885 ms, 1
[18:45:10.405], STTP, 16, <--, MIX, 41, list, 086867aa, SETUP, , , 1
[18:45:10.406], STTP, 16, , , , , , store_share, CPU: 0.002964 ms, wall: 0.002215 ms, 1
[18:45:10.406], STTP, 16, <--, MIX, 44, list, f0cc235f, SETUP, , , 1
[18:45:10.406], STTP, 16, , , , , , store_share, CPU: 0.002272 ms, wall: 0.001840 ms, 1
[18:45:10.406], STTP, 16, <--, MIX, 35, list, 767b5fef, SETUP, , , 1
[18:45:10.407], STTP, 16, , , , , , store_share, CPU: 0.004645 ms, wall: 0.003934 ms, 1
[18:45:10.410], STTP, 16, <--, MIX, 9, list, c8009b6a, SETUP, , , 1
[18:45:10.410], STTP, 16, , , , , , store_share, CPU: 0.003882 ms, wall: 0.003231 ms, 1
[18:45:10.412], STTP, 16, <--, MIX, 39, list, 5c9d96db, SETUP, , , 1
[18:45:10.412], STTP, 16, , , , , , store_share, CPU: 0.003855 ms, wall: 0.003142 ms, 1
[18:45:10.414], STTP, 16, <--, MIX, 22, list, 19cee483, SETUP, , , 1
[18:45:10.415], STTP, 16, , , , , , store_share, CPU: 0.004381 ms, wall: 0.003263 ms, 1
[18:45:10.415], STTP, 16, <--, MIX, 49, list, 7ff42f6f, SETUP, , , 1
[18:45:10.415], STTP, 16, , , , , , store_share, CPU: 0.003515 ms, wall: 0.002730 ms, 1
[18:45:10.416], STTP, 16, <--, MIX, 32, list, a35ea46f, SETUP, , , 1
[18:45:10.418], STTP, 16, , , , , , store_share, CPU: 0.014522 ms, wall: 0.008685 ms, 1
[18:45:10.418], STTP, 16, <--, MIX, 15, list, b7538329, SETUP, , , 1
[18:45:10.419], STTP, 16, , , , , , store_share, CPU: 0.003202 ms, wall: 0.002599 ms, 1
[18:45:10.419], STTP, 16, <--, MIX, 50, list, 67be6fd0, SETUP, , , 1
[18:45:10.419], STTP, 16, , , , , , store_share, CPU: 0.003616 ms, wall: 0.002724 ms, 1
[18:45:10.420], STTP, 16, <--, MIX, 17, list, c717285c, SETUP, , , 1
[18:45:10.421], STTP, 16, , , , , , store_share, CPU: 0.003376 ms, wall: 0.002669 ms, 1
[18:45:10.422], STTP, 16, <--, MIX, 31, list, c52c42be, SETUP, , , 1
[18:45:10.423], STTP, 16, , , , , , store_share, CPU: 0.007511 ms, wall: 0.005842 ms, 1
[18:45:10.425], STTP, 16, <--, MIX, 12, list, 02beec29, SETUP, , , 1
[18:45:10.425], STTP, 16, , , , , , store_share, CPU: 0.003330 ms, wall: 0.002359 ms, 1
[18:45:10.429], STTP, 16, <--, MIX, 3, list, d5318a54, SETUP, , , 1
[18:45:10.429], STTP, 16, , , , , , store_share, CPU: 0.003234 ms, wall: 0.002238 ms, 1
[18:45:10.451], STTP, 16, <--, MIX, 20, list, d4abd4e9, SETUP, , , 1
[18:45:10.451], STTP, 16, , , , , , store_share, CPU: 0.003702 ms, wall: 0.003207 ms, 1
[18:45:10.456], STTP, 16, <--, MIX, 47, list, f037374f, SETUP, , , 1
[18:45:10.457], STTP, 16, , , , , , store_share, CPU: 0.007829 ms, wall: 0.005806 ms, 1
[18:45:10.560], STTP, 16, <--, MIX, 11, list, b2c4b4cb, SETUP, , , 1
[18:45:10.560], STTP, 16, , , , , , store_share, CPU: 0.036718 ms, wall: 0.035063 ms, 1
[18:45:12.295], STTP, 16, <--, CLIENT, 6, list, 7db8d568, ROUTE, , , 1
[18:45:12.297], STTP, 16, -->, CLIENT, 6, list, dee3bdf3, ROUTE, , , 1
[18:45:12.298], STTP, 16, , , , , , send_share, CPU: 2.218326 ms, wall: 2.249267 ms, 1
[18:45:12.539], STTP, 16, <--, CLIENT, 20, list, 5d3d0408, ROUTE, , , 1
[18:45:12.540], STTP, 16, -->, CLIENT, 20, list, 2df1a75c, ROUTE, , , 1
[18:45:12.540], STTP, 16, , , , , , send_share, CPU: 0.751372 ms, wall: 0.765782 ms, 1
[18:45:12.766], STTP, 16, <--, CLIENT, 45, list, 75a33c3e, ROUTE, , , 1
[18:45:12.768], STTP, 16, -->, CLIENT, 45, list, f64da5c2, ROUTE, , , 1
[18:45:12.768], STTP, 16, , , , , , send_share, CPU: 1.961156 ms, wall: 2.002394 ms, 1
[18:45:12.784], STTP, 16, <--, CLIENT, 14, list, 7f2ca755, ROUTE, , , 1
[18:45:12.784], STTP, 16, -->, CLIENT, 14, list, eac552d7, ROUTE, , , 1
[18:45:12.785], STTP, 16, , , , , , send_share, CPU: 0.810428 ms, wall: 0.824177 ms, 1
[18:45:12.788], STTP, 16, <--, CLIENT, 11, list, d465cef7, ROUTE, , , 1
[18:45:12.790], STTP, 16, -->, CLIENT, 11, list, bd4a760b, ROUTE, , , 1
[18:45:12.791], STTP, 16, , , , , , send_share, CPU: 2.107310 ms, wall: 2.137208 ms, 1
[18:45:12.822], STTP, 16, <--, CLIENT, 18, list, 655423bb, ROUTE, , , 1
[18:45:12.823], STTP, 16, -->, CLIENT, 18, list, f1e82ac8, ROUTE, , , 1
[18:45:12.823], STTP, 16, , , , , , send_share, CPU: 0.930851 ms, wall: 0.965850 ms, 1
[18:45:12.834], STTP, 16, <--, CLIENT, 67, list, 14e04559, ROUTE, , , 1
[18:45:12.835], STTP, 16, -->, CLIENT, 67, list, 6842fda9, ROUTE, , , 1
[18:45:12.835], STTP, 16, , , , , , send_share, CPU: 0.768418 ms, wall: 0.780078 ms, 1
[18:45:12.885], STTP, 16, <--, CLIENT, 36, list, 52c3f289, ROUTE, , , 1
[18:45:12.886], STTP, 16, -->, CLIENT, 36, list, 31513676, ROUTE, , , 1
[18:45:12.886], STTP, 16, , , , , , send_share, CPU: 0.799002 ms, wall: 0.809971 ms, 1
[18:45:12.920], STTP, 16, <--, CLIENT, 13, list, b3d2f6b8, ROUTE, , , 1
[18:45:12.922], STTP, 16, -->, CLIENT, 13, list, 02e376ea, ROUTE, , , 1
[18:45:12.922], STTP, 16, , , , , , send_share, CPU: 1.580659 ms, wall: 1.616364 ms, 1
[18:45:12.940], STTP, 16, <--, CLIENT, 54, list, 6452ae61, ROUTE, , , 1
