[18:45:10.407], STTP, 8, , , , , , store_share, CPU: 0.005033 ms, wall: 0.004251 ms, 1
[18:45:10.407], STTP, 8, <--, MIX, 44, list, e2f313d1, SETUP, , , 1
[18:45:10.415], STTP, 8, , , , , , store_share, CPU: 0.004478 ms, wall: 0.003693 ms, 1
[18:45:10.415], STTP, 8, <--, MIX, 23, list, 321f4722, SETUP, , , 1
[18:45:10.415], STTP, 8, , , , , , store_share, CPU: 0.003755 ms, wall: 0.002749 ms, 1
[18:45:10.416], STTP, 8, <--, MIX, 27, list, f514be7a, SETUP, , , 1
[18:45:10.416], STTP, 8, , , , , , store_share, CPU: 0.003508 ms, wall: 0.002892 ms, 1
[18:45:10.417], STTP, 8, <--, MIX, 31, list, 1f812b49, SETUP, , , 1
[18:45:10.417], STTP, 8, , , , , , store_share, CPU: 0.002970 ms, wall: 0.002373 ms, 1
[18:45:10.417], STTP, 8, <--, MIX, 9, list, f667156f, SETUP, , , 1
[18:45:10.417], STTP, 8, , , , , , store_share, CPU: 0.003633 ms, wall: 0.002849 ms, 1
[18:45:10.418], STTP, 8, <--, MIX, 39, list, b2cfa012, SETUP, , , 1
[18:45:10.418], STTP, 8, , , , , , store_share, CPU: 0.003614 ms, wall: 0.003092 ms, 1
[18:45:10.419], STTP, 8, <--, MIX, 49, list, 5982f4da, SETUP, , , 1
[18:45:10.419], STTP, 8, , , , , , store_share, CPU: 0.003945 ms, wall: 0.002954 ms, 1
[18:45:10.419], STTP, 8, <--, MIX, 12, list, 479ef2d9, SETUP, , , 1
[18:45:10.419], STTP, 8, , , , , , store_share, CPU: 0.003726 ms, wall: 0.002989 ms, 1
[18:45:10.420], STTP, 8, <--, MIX, 32, list, e78c57a2, SETUP, , , 1
[18:45:10.420], STTP, 8, , , , , , store_share, CPU: 0.003452 ms, wall: 0.002786 ms, 1
[18:45:10.420], STTP, 8, <--, MIX, 22, list, e73f4600, SETUP, , , 1
[18:45:10.421], STTP, 8, , , , , , store_share, CPU: 0.003751 ms, wall: 0.002752 ms, 1
[18:45:10.421], STTP, 8, <--, MIX, 15, list, 5767835a, SETUP, , , 1
[18:45:10.421], STTP, 8, , , , , , store_share, CPU: 0.003534 ms, wall: 0.002807 ms, 1
[18:45:10.422], STTP, 8, <--, MIX, 50, list, 89248ada, SETUP, , , 1
[18:45:10.422], STTP, 8, , , , , , store_share, CPU: 0.003627 ms, wall: 0.002747 ms, 1
[18:45:10.422], STTP, 8, <--, MIX, 17, list, 10989021, SETUP, , , 1
[18:45:10.422], STTP, 8, , , , , , store_share, CPU: 0.003522 ms, wall: 0.002660 ms, 1
[18:45:10.423], STTP, 8, <--, MIX, 3, list, c29f1fe3, SETUP, , , 1
[18:45:10.423], STTP, 8, , , , , , store_share, CPU: 0.004035 ms, wall: 0.003163 ms, 1
[18:45:10.436], STTP, 8, <--, MIX, 20, list, 467c37e5, SETUP, , , 1
[18:45:10.436], STTP, 8, , , , , , store_share, CPU: 0.003888 ms, wall: 0.002833 ms, 1
[18:45:10.444], STTP, 8, <--, MIX, 47, list, 74cce406, SETUP, , , 1
