[18:45:10.404], STTP, 11, , , , , , store_share, CPU: 0.002516 ms, wall: 0.001967 ms, 1
[18:45:10.404], STTP, 11, <--, MIX, 23, list, eade093a, SETUP, , , 1
[18:45:10.404], STTP, 11, , , , , , store_share, CPU: 0.001908 ms, wall: 0.001663 ms, 1
[18:45:10.404], STTP, 11, <--, MIX, 27, list, 6859a822, SETUP, , , 1
[18:45:10.404], STTP, 11, , , , , , store_share, CPU: 0.002212 ms, wall: 0.001612 ms, 1
[18:45:10.405], STTP, 11, <--, MIX, 44, list, 7320feab, SETUP, , , 1
[18:45:10.405], STTP, 11, , , , , , store_share, CPU: 0.001848 ms, wall: 0.001509 ms, 1
[18:45:10.405], STTP, 11, <--, MIX, 9, list, c534de89, SETUP, , , 1
[18:45:10.405], STTP, 11, , , , , , store_share, CPU: 0.002258 ms, wall: 0.001968 ms, 1
[18:45:10.406], STTP, 11, <--, MIX, 12, list, cb2ffb4a, SETUP, , , 1
[18:45:10.406], STTP, 11, , , , , , store_share, CPU: 0.004248 ms, wall: 0.003174 ms, 1
[18:45:10.407], STTP, 11, <--, MIX, 49, list, c778df80, SETUP, , , 1
[18:45:10.410], STTP, 11, , , , , , store_share, CPU: 0.004625 ms, wall: 0.003972 ms, 1
[18:45:10.411], STTP, 11, <--, MIX, 22, list, 8a48937c, SETUP, , , 1
[18:45:10.411], STTP, 11, , , , , , store_share, CPU: 0.003473 ms, wall: 0.002778 ms, 1
[18:45:10.411], STTP, 11, <--, MIX, 39, list, 6545c204, SETUP, , , 1
[18:45:10.412], STTP, 11, , , , , , store_share, CPU: 0.004134 ms, wall: 0.003036 ms, 1
[18:45:10.412], STTP, 11, <--, MIX, 31, list, 13eeba09, SETUP, , , 1
[18:45:10.413], STTP, 11, , , , , , store_share, CPU: 0.016046 ms, wall: 0.006671 ms, 1
[18:45:10.414], STTP, 11, <--, MIX, 15, list, 16854354, SETUP, , , 1
[18:45:10.414], STTP, 11, , , , , , store_share, CPU: 0.003597 ms, wall: 0.002910 ms, 1
[18:45:10.414], STTP, 11, <--, MIX, 32, list, d701e46c, SETUP, , , 1
[18:45:10.415], STTP, 11, , , , , , store_share, CPU: 0.003457 ms, wall: 0.002747 ms, 1
[18:45:10.418], STTP, 11, <--, MIX, 50, list, dd5f3860, SETUP, , , 1
[18:45:10.418], STTP, 11, , , , , , store_share, CPU: 0.004081 ms, wall: 0.003148 ms, 1
[18:45:10.419], STTP, 11, <--, MIX, 17, list, 009ab85b, SETUP, , , 1
[18:45:10.419], STTP, 11, , , , , , store_share, CPU: 0.003292 ms, wall: 0.002604 ms, 1
[18:45:10.426], STTP, 11, <--, MIX, 3, list, 4ef709e1, SETUP, , , 1
[18:45:10.426], STTP, 11, , , , , , store_share, CPU: 0.003593 ms, wall: 0.002807 ms, 1
[18:45:10.441], STTP, 11, <--, MIX, 20, list, d6aa01de, SETUP, , , 1
[18:45:10.441], STTP, 11, , , , , , store_share, CPU: 0.004739 ms, wall: 0.002702 ms, 1
[18:45:10.449], STTP, 11, <--, MIX, 47, list, 24c09ebe, SETUP, , , 1
[18:45:10.449], STTP, 11, , , , , , store_share, CPU: 0.008039 ms, wall: 0.006214 ms, 1
[18:45:10.541], STTP, 11, <--, MIX, 11, list, 49b4e5e2, SETUP, , , 1
[18:45:10.543], STTP, 11, , , , , , store_share, CPU: 0.032310 ms, wall: 0.031400 ms, 1
[18:45:12.356], STTP, 11, <--, CLIENT, 7, list, be72bd79, ROUTE, , , 1
[18:45:12.357], STTP, 11, -->, CLIENT, 7, list, 91b84598, ROUTE, , , 1
[18:45:12.357], STTP, 11, , , , , , send_share, CPU: 1.039912 ms, wall: 1.056080 ms, 1
[18:45:12.630], STTP, 11, <--, CLIENT, 37, list, 8e549920, ROUTE, , , 1
[18:45:12.631], STTP, 11, -->, CLIENT, 37, list, 5aa023e6, ROUTE, , , 1
[18:45:12.632], STTP, 11, , , , , , send_share, CPU: 1.732240 ms, wall: 1.767837 ms, 1
[18:45:12.665], STTP, 11, <--, CLIENT, 56, list, c9bca064, ROUTE, , , 1
[18:45:12.666], STTP, 11, -->, CLIENT, 56, list, 034228b3, ROUTE, , , 1
[18:45:12.666], STTP, 11, , , , , , send_share, CPU: 1.172779 ms, wall: 1.197726 ms, 1
[18:45:12.814], STTP, 11, <--, CLIENT, 43, list, 1960797c, ROUTE, , , 1
[18:45:12.816], STTP, 11, -->, CLIENT, 43, list, 41984240, ROUTE, , , 1
[18:45:12.816], STTP, 11, , , , , , send_share, CPU: 2.250668 ms, wall: 2.278401 ms, 1
[18:45:12.821], STTP, 11, <--, CLIENT, 18, list, 655423bb, ROUTE, , , 1
[18:45:12.822], STTP, 11, -->, CLIENT, 18, list, 8ebff3da, ROUTE, , , 1
[18:45:12.822], STTP, 11, , , , , , send_share, CPU: 0.734165 ms, wall: 0.746483 ms, 1
[18:45:12.934], STTP, 11, <--, CLIENT, 51, list, 7b3586d8, ROUTE, , , 1
[18:45:12.935], STTP, 11, -->, CLIENT, 51, list, f40bfbef, ROUTE, , , 1
[18:45:12.936], STTP, 11, , , , , , send_share, CPU: 2.247167 ms, wall: 2.286794 ms, 1
[18:45:12.940], STTP, 11, <--, CLIENT, 54, list, 6452ae61, ROUTE, , , 1
[18:45:12.941], STTP, 11, -->, CLIENT, 54, list, c7becb81, ROUTE, , , 1
[18:45:12.941], STTP, 11, , , , , , send_share, CPU: 0.944213 ms, wall: 0.959758 ms, 1
[18:45:12.964], STTP, 11, <--, CLIENT, 15, list, 94afbdb6, ROUTE, , , 1
[18:45:12.966], STTP, 11, -->, CLIENT, 15, list, 9c61ce1a, ROUTE, , , 1
[18:45:12.966], STTP, 11, , , , , , send_share, CPU: 2.246834 ms, wall: 2.270635 ms, 1
[18:45:12.987], STTP, 11, <--, CLIENT, 39, list, c0937eb9, ROUTE, , , 1
[18:45:12.989], STTP, 11, -->, CLIENT, 39, list, 6e74dbaf, ROUTE, , , 1
[18:45:12.990], STTP, 11, , , , , , send_share, CPU: 2.263019 ms, wall: 2.305728 ms, 1
[18:45:13.006], STTP, 11, <--, CLIENT, 81, list, 9d5ab82d, ROUTE, , , 1
[18:45:13.008], STTP, 11, -->, CLIENT, 81, list, e1b7b2c9, ROUTE, , , 1
[18:45:13.009], STTP, 11, , , , , , send_share, CPU: 1.942831 ms, wall: 1.981535 ms, 1
[18:45:13.058], STTP, 11, <--, CLIENT, 75, list, 238bc153, ROUTE, , , 1
[18:45:13.059], STTP, 11, -->, CLIENT, 75, list, 7b9a7cb1, ROUTE, , , 1
[18:45:13.059], STTP, 11, , , , , , send_share, CPU: 0.789933 ms, wall: 0.801711 ms, 1
[18:45:13.071], STTP, 11, <--, CLIENT, 38, list, e2996dd0, ROUTE, , , 1
[18:45:13.073], STTP, 11, -->, CLIENT, 38, list, 62ce66e1, ROUTE, , , 1
[18:45:13.074], STTP, 11, , , , , , send_share, CPU: 2.373231 ms, wall: 2.416314 ms, 1
[18:45:13.075], STTP, 11, <--, CLIENT, 48, list, 3974d56a, ROUTE, , , 1
[18:45:13.078], STTP, 11, -->, CLIENT, 48, list, f1253842, ROUTE, , , 1
[18:45:13.079], STTP, 11, , , , , , send_share, CPU: 2.310577 ms, wall: 3.262561 ms, 1
[18:45:13.106], STTP, 11, <--, CLIENT, 50, list, 590a3833, ROUTE, , , 1
[18:45:13.108], STTP, 11, -->, CLIENT, 50, list, 9263f0e0, ROUTE, , , 1
[18:45:13.108], STTP, 11, , , , , , send_share, CPU: 2.197562 ms, wall: 2.235226 ms, 1
[18:45:13.117], STTP, 11, <--, CLIENT, 28, list, 37ab3eb5, ROUTE, , , 1
[18:45:13.119], STTP, 11, -->, CLIENT, 28, list, 19f77c3b, ROUTE, , , 1
[18:45:13.119], STTP, 11, , , , , , send_share, CPU: 1.149166 ms, wall: 1.166175 ms, 1
[18:45:13.128], STTP, 11, <--, CLIENT, 72, list, 96c88920, ROUTE, , , 1
[18:45:13.129], STTP, 11, -->, CLIENT, 72, list, 27daf571, ROUTE, , , 1
[18:45:13.131], STTP, 11, , , , , , send_share, CPU: 1.163090 ms, wall: 2.380815 ms, 1
[18:45:13.148], STTP, 11, <--, CLIENT, 94, list, e6dd0523, ROUTE, , , 1
[18:45:13.149], STTP, 11, -->, CLIENT, 94, list, 4c969f54, ROUTE, , , 1
[18:45:13.150], STTP, 11, , , , , , send_share, CPU: 1.118677 ms, wall: 1.131728 ms, 1
[18:45:13.155], STTP, 11, <--, CLIENT, 17, list, 02e56cdd, ROUTE, , , 1
[18:45:13.156], STTP, 11, -->, CLIENT, 17, list, 9f64c681, ROUTE, , , 1
[18:45:13.157], STTP, 11, , , , , , send_share, CPU: 1.095330 ms, wall: 1.107329 ms, 1
[18:45:13.169], STTP, 11, <--, CLIENT, 84, list, f786c72d, ROUTE, , , 1
[18:45:13.170], STTP, 11, -->, CLIENT, 84, list, 62f2cd21, ROUTE, , , 1
[18:45:13.172], STTP, 11, , , , , , send_share, CPU: 1.168471 ms, wall: 1.972937 ms, 1
[18:45:13.178], STTP, 11, <--, CLIENT, 57, list, f08513bf, ROUTE, , , 1
[18:45:13.179], STTP, 11, -->, CLIENT, 57, list, 5004829c, ROUTE, , , 1
[18:45:13.179], STTP, 11, , , , , , send_share, CPU: 1.108364 ms, wall: 1.125722 ms, 1
[18:45:13.187], STTP, 11, <--, CLIENT, 49, list, 6b84568b, ROUTE, , , 1
[18:45:13.188], STTP, 11, -->, CLIENT, 49, list, a0f97afa, ROUTE, , , 1
[18:45:13.189], STTP, 11, , , , , , send_share, CPU: 1.117105 ms, wall: 1.129564 ms, 1
[18:45:13.190], STTP, 11, <--, CLIENT, 88, list, 855d3120, ROUTE, , , 1
[18:45:13.192], STTP, 11, -->, CLIENT, 88, list, 198006d2, ROUTE, , , 1
[18:45:13.192], STTP, 11, , , , , , send_share, CPU: 1.194867 ms, wall: 1.207793 ms, 1
[18:45:13.194], STTP, 11, <--, CLIENT, 52, list, 036f4951, ROUTE, , , 1
[18:45:13.195], STTP, 11, -->, CLIENT, 52, list, a2bf0602, ROUTE, , , 1
[18:45:13.196], STTP, 11, , , , , , send_share, CPU: 1.178608 ms, wall: 1.229209 ms, 1
[18:45:13.200], STTP, 11, <--, CLIENT, 73, list, 27da77ec, ROUTE, , , 1
[18:45:13.201], STTP, 11, -->, CLIENT, 73, list, 4345e627, ROUTE, , , 1
[18:45:13.203], STTP, 11, , , , , , send_share, CPU: 1.191235 ms, wall: 3.016349 ms, 1
[18:45:13.204], STTP, 11, <--, CLIENT, 79, list, 36e7ad91, ROUTE, , , 1
[18:45:13.205], STTP, 11, -->, CLIENT, 79, list, e1c2520a, ROUTE, , , 1
[18:45:13.215], STTP, 11, , , , , , send_share, CPU: 1.293592 ms, wall: 11.109793 ms, 1
[18:45:13.215], STTP, 11, <--, CLIENT, 90, list, 4fd2e030, ROUTE, , , 1
[18:45:13.216], STTP, 11, -->, CLIENT, 90, list, e82ca2e4, ROUTE, , , 1
[18:45:13.216], STTP, 11, , , , , , send_share, CPU: 0.791242 ms, wall: 0.804354 ms, 1
[18:45:13.217], STTP, 11, <--, CLIENT, 92, list, c5c03b80, ROUTE, , , 1
[18:45:13.217], STTP, 11, -->, CLIENT, 92, list, 3089881b, ROUTE, , , 1
[18:45:13.218], STTP, 11, , , , , , send_share, CPU: 1.007700 ms, wall: 1.027261 ms, 1
[18:45:13.218], STTP, 11, <--, CLIENT, 98, list, 48d2378c, ROUTE, , , 1
[18:45:13.219], STTP, 11, -->, CLIENT, 98, list, c32c794a, ROUTE, , , 1
[18:45:13.220], STTP, 11, , , , , , send_share, CPU: 1.058356 ms, wall: 1.071627 ms, 1
