[18:45:10.398], STTP, 15, , , , , , store_share, CPU: 0.004413 ms, wall: 0.003966 ms, 1
[18:45:10.398], STTP, 15, <--, MIX, 35, list, d2f2790d, SETUP, , , 1
[18:45:10.399], STTP, 15, , , , , , store_share, CPU: 0.003418 ms, wall: 0.002673 ms, 1
[18:45:10.399], STTP, 15, <--, MIX, 10, list, c5bb5660, SETUP, , , 1
[18:45:10.408], STTP, 15, , , , , , store_share, CPU: 0.004037 ms, wall: 0.003329 ms, 1
[18:45:10.408], STTP, 15, <--, MIX, 44, list, 27dc3b98, SETUP, , , 1
[18:45:10.408], STTP, 15, , , , , , store_share, CPU: 0.004739 ms, wall: 0.004306 ms, 1
[18:45:10.409], STTP, 15, <--, MIX, 9, list, 5399bf4e, SETUP, , , 1
[18:45:10.410], STTP, 15, , , , , , store_share, CPU: 0.003622 ms, wall: 0.002801 ms, 1
[18:45:10.411], STTP, 15, <--, MIX, 39, list, 8b54865a, SETUP, , , 1
[18:45:10.411], STTP, 15, , , , , , store_share, CPU: 0.004228 ms, wall: 0.003429 ms, 1
[18:45:10.413], STTP, 15, <--, MIX, 22, list, 60f17f32, SETUP, , , 1
[18:45:10.413], STTP, 15, , , , , , store_share, CPU: 0.004232 ms, wall: 0.003404 ms, 1
[18:45:10.414], STTP, 15, <--, MIX, 49, list, e9872a4f, SETUP, , , 1
[18:45:10.415], STTP, 15, , , , , , store_share, CPU: 0.003933 ms, wall: 0.002953 ms, 1
[18:45:10.415], STTP, 15, <--, MIX, 32, list, ac99c029, SETUP, , , 1
[18:45:10.415], STTP, 15, , , , , , store_share, CPU: 0.003606 ms, wall: 0.003159 ms, 1
[18:45:10.416], STTP, 15, <--, MIX, 15, list, eebd8cce, SETUP, , , 1
[18:45:10.416], STTP, 15, , , , , , store_share, CPU: 0.003426 ms, wall: 0.002405 ms, 1
[18:45:10.418], STTP, 15, <--, MIX, 50, list, e83ac858, SETUP, , , 1
[18:45:10.419], STTP, 15, , , , , , store_share, CPU: 0.004334 ms, wall: 0.003206 ms, 1
[18:45:10.420], STTP, 15, <--, MIX, 17, list, ea75a289, SETUP, , , 1
[18:45:10.420], STTP, 15, , , , , , store_share, CPU: 0.003923 ms, wall: 0.002964 ms, 1
[18:45:10.421], STTP, 15, <--, MIX, 31, list, c3ab8a8f, SETUP, , , 1
[18:45:10.421], STTP, 15, , , , , , store_share, CPU: 0.003529 ms, wall: 0.002743 ms, 1
[18:45:10.422], STTP, 15, <--, MIX, 12, list, 0a0d8a2e, SETUP, , , 1
[18:45:10.422], STTP, 15, , , , , , store_share, CPU: 0.003050 ms, wall: 0.002317 ms, 1
[18:45:10.429], STTP, 15, <--, MIX, 3, list, 3cad07d5, SETUP, , , 1
[18:45:10.429], STTP, 15, , , , , , store_share, CPU: 0.003900 ms, wall: 0.002987 ms, 1
[18:45:10.449], STTP, 15, <--, MIX, 20, list, 87a044a5, SETUP, , , 1
[18:45:10.449], STTP, 15, , , , , , store_share, CPU: 0.005308 ms, wall: 0.004201 ms, 1
[18:45:10.455], STTP, 15, <--, MIX, 47, list, 3f498cde, SETUP, , , 1
[18:45:10.455], STTP, 15, , , , , , store_share, CPU: 0.007786 ms, wall: 0.006025 ms, 1
[18:45:10.554], STTP, 15, <--, MIX, 11, list, 71c9e321, SETUP, , , 1
