[18:45:10.373], STTP, 6, , , , , , store_share, CPU: 0.007172 ms, wall: 0.005736 ms, 1
[18:45:10.377], STTP, 6, <--, MIX, 14, list, 33edacbf, SETUP, , , 1
[18:45:10.378], STTP, 6, , , , , , store_share, CPU: 0.007214 ms, wall: 0.005423 ms, 1
[18:45:10.379], STTP, 6, <--, MIX, 44, list, fbf41ad7, SETUP, , , 1
[18:45:10.379], STTP, 6, , , , , , store_share, CPU: 0.006710 ms, wall: 0.005380 ms, 1
[18:45:10.382], STTP, 6, <--, MIX, 45, list, 15b79b1d, SETUP, , , 1
[18:45:10.382], STTP, 6, , , , , , store_share, CPU: 0.007067 ms, wall: 0.005250 ms, 1
[18:45:10.384], STTP, 6, <--, MIX, 22, list, 2b08579a, SETUP, , , 1
[18:45:10.385], STTP, 6, , , , , , store_share, CPU: 0.006234 ms, wall: 0.005152 ms, 1
[18:45:10.385], STTP, 6, <--, MIX, 27, list, 56c1eeb1, SETUP, , , 1
[18:45:10.389], STTP, 6, , , , , , store_share, CPU: 0.030365 ms, wall: 0.016255 ms, 1
[18:45:10.391], STTP, 6, <--, MIX, 31, list, bac8c6a2, SETUP, , , 1
[18:45:10.391], STTP, 6, , , , , , store_share, CPU: 0.004590 ms, wall: 0.003637 ms, 1
[18:45:10.393], STTP, 6, <--, MIX, 32, list, 45b2da5f, SETUP, , , 1
[18:45:10.393], STTP, 6, , , , , , store_share, CPU: 0.004099 ms, wall: 0.003047 ms, 1
[18:45:10.394], STTP, 6, <--, MIX, 9, list, 7ea3c0f2, SETUP, , , 1
[18:45:10.399], STTP, 6, , , , , , store_share, CPU: 0.022736 ms, wall: 0.012234 ms, 1
[18:45:10.400], STTP, 6, <--, MIX, 39, list, 42efcf61, SETUP, , , 1
[18:45:10.408], STTP, 6, , , , , , store_share, CPU: 0.004982 ms, wall: 0.003875 ms, 1
[18:45:10.409], STTP, 6, <--, MIX, 49, list, 9c159ad7, SETUP, , , 1
[18:45:10.409], STTP, 6, , , , , , store_share, CPU: 0.003714 ms, wall: 0.002790 ms, 1
[18:45:10.409], STTP, 6, <--, MIX, 15, list, 91dee641, SETUP, , , 1
[18:45:10.410], STTP, 6, , , , , , store_share, CPU: 0.002956 ms, wall: 0.002418 ms, 1
[18:45:10.410], STTP, 6, <--, MIX, 17, list, 81ee87de, SETUP, , , 1
[18:45:10.410], STTP, 6, , , , , , store_share, CPU: 0.003440 ms, wall: 0.002788 ms, 1
[18:45:10.411], STTP, 6, <--, MIX, 50, list, 1390fee9, SETUP, , , 1
[18:45:10.411], STTP, 6, , , , , , store_share, CPU: 0.003723 ms, wall: 0.002753 ms, 1
[18:45:10.422], STTP, 6, <--, MIX, 3, list, 702a3598, SETUP, , , 1
[18:45:10.423], STTP, 6, , , , , , store_share, CPU: 0.004866 ms, wall: 0.003480 ms, 1
[18:45:10.432], STTP, 6, <--, MIX, 20, list, 2590c7eb, SETUP, , , 1
[18:45:10.433], STTP, 6, , , , , , store_share, CPU: 0.003801 ms, wall: 0.002742 ms, 1
[18:45:10.440], STTP, 6, <--, MIX, 47, list, 264cc98d, SETUP, , , 1
[18:45:10.441], STTP, 6, , , , , , store_share, CPU: 0.003365 ms, wall: 0.002510 ms, 1
[18:45:10.529], STTP, 6, <--, MIX, 11, list, 99dc9c6a, SETUP, , , 1
[18:45:10.529], STTP, 6, , , , , , store_share, CPU: 0.036998 ms, wall: 0.035148 ms, 1
[18:45:12.538], STTP, 6, <--, CLIENT, 85, list, fa539e38, ROUTE, , , 1
[18:45:12.540], STTP, 6, -->, CLIENT, 85, list, b5c4c892, ROUTE, , , 1
[18:45:12.541], STTP, 6, , , , , , send_share, CPU: 2.306898 ms, wall: 2.353421 ms, 1
[18:45:12.645], STTP, 6, <--, CLIENT, 53, list, a72be044, ROUTE, , , 1
[18:45:12.646], STTP, 6, -->, CLIENT, 53, list, 668987b9, ROUTE, , , 1
[18:45:12.646], STTP, 6, , , , , , send_share, CPU: 0.762608 ms, wall: 0.769216 ms, 1
[18:45:12.767], STTP, 6, <--, CLIENT, 45, list, 75a33c3e, ROUTE, , , 1
[18:45:12.769], STTP, 6, -->, CLIENT, 45, list, f3c97569, ROUTE, , , 1
[18:45:12.769], STTP, 6, , , , , , send_share, CPU: 1.915792 ms, wall: 1.955458 ms, 1
[18:45:12.788], STTP, 6, <--, CLIENT, 11, list, d465cef7, ROUTE, , , 1
[18:45:12.789], STTP, 6, -->, CLIENT, 11, list, 5658ceb3, ROUTE, , , 1
[18:45:12.789], STTP, 6, , , , , , send_share, CPU: 0.762209 ms, wall: 0.773287 ms, 1
[18:45:12.822], STTP, 6, <--, CLIENT, 18, list, 655423bb, ROUTE, , , 1
[18:45:12.824], STTP, 6, -->, CLIENT, 18, list, 5904f270, ROUTE, , , 1
[18:45:12.824], STTP, 6, , , , , , send_share, CPU: 2.117312 ms, wall: 2.143462 ms, 1
[18:45:12.907], STTP, 6, <--, CLIENT, 10, list, fb083119, ROUTE, , , 1
[18:45:12.908], STTP, 6, -->, CLIENT, 10, list, 50c46ba1, ROUTE, , , 1
[18:45:12.908], STTP, 6, , , , , , send_share, CPU: 0.717807 ms, wall: 0.729192 ms, 1
[18:45:12.912], STTP, 6, <--, CLIENT, 29, list, 7d43c232, ROUTE, , , 1
[18:45:12.913], STTP, 6, -->, CLIENT, 29, list, d83a6376, ROUTE, , , 1
[18:45:12.913], STTP, 6, , , , , , send_share, CPU: 0.773216 ms, wall: 0.785231 ms, 1
[18:45:12.957], STTP, 6, <--, CLIENT, 93, list, 8458fa1c, ROUTE, , , 1
[18:45:12.958], STTP, 6, -->, CLIENT, 93, list, e32483b9, ROUTE, , , 1
[18:45:12.959], STTP, 6, , , , , , send_share, CPU: 1.151373 ms, wall: 1.169090 ms, 1
[18:45:12.988], STTP, 6, <--, CLIENT, 26, list, c42d0595, ROUTE, , , 1
[18:45:12.989], STTP, 6, -->, CLIENT, 26, list, d8a9e2a5, ROUTE, , , 1
[18:45:12.989], STTP, 6, , , , , , send_share, CPU: 0.822926 ms, wall: 0.835685 ms, 1
[18:45:12.995], STTP, 6, <--, CLIENT, 21, list, a42ca0ab, ROUTE, , , 1
[18:45:12.997], STTP, 6, -->, CLIENT, 21, list, abf73570, ROUTE, , , 1
[18:45:12.998], STTP, 6, , , , , , send_share, CPU: 2.154225 ms, wall: 2.181346 ms, 1
[18:45:13.072], STTP, 6, <--, CLIENT, 68, list, ce55ed6d, ROUTE, , , 1
[18:45:13.073], STTP, 6, -->, CLIENT, 68, list, 6d521a0a, ROUTE, , , 1
[18:45:13.074], STTP, 6, , , , , , send_share, CPU: 1.110413 ms, wall: 1.553130 ms, 1
[18:45:13.129], STTP, 6, <--, CLIENT, 74, list, c7f5ff6b, ROUTE, , , 1
[18:45:13.132], STTP, 6, -->, CLIENT, 74, list, 7ec79f79, ROUTE, , , 1
[18:45:13.139], STTP, 6, , , , , , send_share, CPU: 2.474109 ms, wall: 9.699078 ms, 1
[18:45:13.140], STTP, 6, <--, CLIENT, 62, list, 933930e9, ROUTE, , , 1
[18:45:13.146], STTP, 6, -->, CLIENT, 62, list, 504e83dc, ROUTE, , , 1
[18:45:13.146], STTP, 6, , , , , , send_share, CPU: 2.263053 ms, wall: 4.367888 ms, 1
[18:45:13.151], STTP, 6, <--, CLIENT, 23, list, 292af744, ROUTE, , , 1
[18:45:13.153], STTP, 6, -->, CLIENT, 23, list, dfcb8302, ROUTE, , , 1
[18:45:13.158], STTP, 6, , , , , , send_share, CPU: 2.215880 ms, wall: 7.102208 ms, 1
[18:45:13.159], STTP, 6, <--, CLIENT, 80, list, 5fab0d80, ROUTE, , , 1
[18:45:13.160], STTP, 6, -->, CLIENT, 80, list, 65159978, ROUTE, , , 1
[18:45:13.161], STTP, 6, , , , , , send_share, CPU: 2.147213 ms, wall: 2.170101 ms, 1
[18:45:13.162], STTP, 6, <--, CLIENT, 86, list, 9cbd4e94, ROUTE, , , 1
[18:45:13.163], STTP, 6, -->, CLIENT, 86, list, d65f0a70, ROUTE, , , 1
[18:45:13.164], STTP, 6, , , , , , send_share, CPU: 2.090462 ms, wall: 2.113544 ms, 1
[18:45:13.189], STTP, 6, <--, CLIENT, 96, list, a6d2ae2b, ROUTE, , , 1
[18:45:13.191], STTP, 6, -->, CLIENT, 96, list, 4bf3f2da, ROUTE, , , 1
[18:45:13.195], STTP, 6, , , , , , send_share, CPU: 2.260824 ms, wall: 5.288964 ms, 1
[18:45:13.196], STTP, 6, <--, CLIENT, 88, list, 855d3120, ROUTE, , , 1
[18:45:13.198], STTP, 6, -->, CLIENT, 88, list, 0ba36214, ROUTE, , , 1
[18:45:13.199], STTP, 6, , , , , , send_share, CPU: 2.237345 ms, wall: 2.418360 ms, 1
[18:45:13.201], STTP, 6, <--, CLIENT, 79, list, 36e7ad91, ROUTE, , , 1
[18:45:13.203], STTP, 6, -->, CLIENT, 79, list, b296793b, ROUTE, , , 1
[18:45:13.204], STTP, 6, , , , , , send_share, CPU: 2.195736 ms, wall: 2.223735 ms, 1
[18:45:13.213], STTP, 6, <--, CLIENT, 98, list, 48d2378c, ROUTE, , , 1
[18:45:13.215], STTP, 6, -->, CLIENT, 98, list, fae2758b, ROUTE, , , 1
[18:45:13.218], STTP, 6, , , , , , send_share, CPU: 1.164306 ms, wall: 3.654772 ms, 1
[18:45:13.219], STTP, 6, <--, CLIENT, 31, list, 71591690, ROUTE, , , 1
[18:45:13.220], STTP, 6, -->, CLIENT, 31, list, 27bfea5f, ROUTE, , , 1
[18:45:13.221], STTP, 6, , , , , , send_share, CPU: 1.089977 ms, wall: 1.109294 ms, 1
