[18:45:10.374], STTP, 1, , , , , , store_share, CPU: 0.003789 ms, wall: 0.002982 ms, 1
[18:45:10.374], STTP, 1, <--, MIX, 46, list, d22ca904, SETUP, , , 1
[18:45:10.375], STTP, 1, , , , , , store_share, CPU: 0.003950 ms, wall: 0.003081 ms, 1
[18:45:10.375], STTP, 1, <--, MIX, 7, list, 31331292, SETUP, , , 1
[18:45:10.375], STTP, 1, , , , , , store_share, CPU: 0.002714 ms, wall: 0.002216 ms, 1
[18:45:10.376], STTP, 1, <--, MIX, 9, list, 579db6fa, SETUP, , , 1
[18:45:10.376], STTP, 1, , , , , , store_share, CPU: 0.002692 ms, wall: 0.002269 ms, 1
[18:45:10.376], STTP, 1, <--, MIX, 15, list, 52c2abc7, SETUP, , , 1
[18:45:10.376], STTP, 1, , , , , , store_share, CPU: 0.004195 ms, wall: 0.003340 ms, 1
[18:45:10.377], STTP, 1, <--, MIX, 14, list, 2673dd94, SETUP, , , 1
[18:45:10.377], STTP, 1, , , , , , store_share, CPU: 0.002596 ms, wall: 0.002025 ms, 1
[18:45:10.377], STTP, 1, <--, MIX, 18, list, 9b011369, SETUP, , , 1
[18:45:10.377], STTP, 1, , , , , , store_share, CPU: 0.002309 ms, wall: 0.001851 ms, 1
[18:45:10.377], STTP, 1, <--, MIX, 45, list, 329c9086, SETUP, , , 1
[18:45:10.378], STTP, 1, , , , , , store_share, CPU: 0.001909 ms, wall: 0.001568 ms, 1
[18:45:10.381], STTP, 1, <--, MIX, 22, list, 53f445de, SETUP, , , 1
[18:45:10.381], STTP, 1, , , , , , store_share, CPU: 0.007844 ms, wall: 0.006403 ms, 1
[18:45:10.382], STTP, 1, <--, MIX, 49, list, d6892c7d, SETUP, , , 1
[18:45:10.383], STTP, 1, , , , , , store_share, CPU: 0.005961 ms, wall: 0.004651 ms, 1
[18:45:10.386], STTP, 1, <--, MIX, 17, list, 0fc9dcdf, SETUP, , , 1
[18:45:10.386], STTP, 1, , , , , , store_share, CPU: 0.006869 ms, wall: 0.005538 ms, 1
[18:45:10.389], STTP, 1, <--, MIX, 31, list, c3cdf05f, SETUP, , , 1
[18:45:10.389], STTP, 1, , , , , , store_share, CPU: 0.006783 ms, wall: 0.005806 ms, 1
[18:45:10.390], STTP, 1, <--, MIX, 39, list, 6230e5c6, SETUP, , , 1
[18:45:10.390], STTP, 1, , , , , , store_share, CPU: 0.007173 ms, wall: 0.005267 ms, 1
[18:45:10.403], STTP, 1, <--, MIX, 50, list, d0326514, SETUP, , , 1
[18:45:10.403], STTP, 1, , , , , , store_share, CPU: 0.004567 ms, wall: 0.003763 ms, 1
[18:45:10.406], STTP, 1, <--, MIX, 3, list, dbed1251, SETUP, , , 1
[18:45:10.410], STTP, 1, , , , , , store_share, CPU: 0.004478 ms, wall: 0.003648 ms, 1
[18:45:10.423], STTP, 1, <--, MIX, 20, list, 28f6f400, SETUP, , , 1
[18:45:10.424], STTP, 1, , , , , , store_share, CPU: 0.003880 ms, wall: 0.002600 ms, 1
[18:45:10.433], STTP, 1, <--, MIX, 47, list, 22d72a6e, SETUP, , , 1
[18:45:10.433], STTP, 1, , , , , , store_share, CPU: 0.003816 ms, wall: 0.002671 ms, 1
[18:45:10.516], STTP, 1, <--, MIX, 11, list, 942d3058, SETUP, , , 1
[18:45:10.516], STTP, 1, , , , , , store_share, CPU: 0.037516 ms, wall: 0.035775 ms, 1
[18:45:12.356], STTP, 1, <--, CLIENT, 7, list, be72bd79, ROUTE, , , 1
[18:45:12.357], STTP, 1, -->, CLIENT, 7, list, 39ccbbdc, ROUTE, , , 1
[18:45:12.357], STTP, 1, , , , , , send_share, CPU: 1.195540 ms, wall: 1.231909 ms, 1
[18:45:12.540], STTP, 1, <--, CLIENT, 3, list, a3c052b4, ROUTE, , , 1
[18:45:12.541], STTP, 1, -->, CLIENT, 3, list, 38d3ec75, ROUTE, , , 1
[18:45:12.541], STTP, 1, , , , , , send_share, CPU: 0.791061 ms, wall: 0.796353 ms, 1
