[18:45:10.406], STTP, 12, , , , , , store_share, CPU: 0.003522 ms, wall: 0.002781 ms, 1
[18:45:10.407], STTP, 12, <--, MIX, 23, list, ea6b2d71, SETUP, , , 1
[18:45:10.410], STTP, 12, , , , , , store_share, CPU: 0.003904 ms, wall: 0.002997 ms, 1
[18:45:10.411], STTP, 12, <--, MIX, 27, list, 0f225253, SETUP, , , 1
[18:45:10.411], STTP, 12, , , , , , store_share, CPU: 0.006841 ms, wall: 0.013057 ms, 1
[18:45:10.411], STTP, 12, <--, MIX, 44, list, 3719a2b9, SETUP, , , 1
[18:45:10.412], STTP, 12, , , , , , store_share, CPU: 0.003262 ms, wall: 0.002386 ms, 1
[18:45:10.412], STTP, 12, <--, MIX, 9, list, 0b944365, SETUP, , , 1
[18:45:10.412], STTP, 12, , , , , , store_share, CPU: 0.002905 ms, wall: 0.002208 ms, 1
[18:45:10.412], STTP, 12, <--, MIX, 39, list, 2efcbf15, SETUP, , , 1
[18:45:10.413], STTP, 12, , , , , , store_share, CPU: 0.003239 ms, wall: 0.002361 ms, 1
[18:45:10.413], STTP, 12, <--, MIX, 22, list, 7cdeb30c, SETUP, , , 1
[18:45:10.413], STTP, 12, , , , , , store_share, CPU: 0.003474 ms, wall: 0.002588 ms, 1
[18:45:10.414], STTP, 12, <--, MIX, 31, list, c7fe01a4, SETUP, , , 1
[18:45:10.415], STTP, 12, , , , , , store_share, CPU: 0.003830 ms, wall: 0.003147 ms, 1
[18:45:10.415], STTP, 12, <--, MIX, 32, list, 54265457, SETUP, , , 1
[18:45:10.415], STTP, 12, , , , , , store_share, CPU: 0.003867 ms, wall: 0.002980 ms, 1
[18:45:10.416], STTP, 12, <--, MIX, 49, list, fcd32bab, SETUP, , , 1
[18:45:10.416], STTP, 12, , , , , , store_share, CPU: 0.003189 ms, wall: 0.002495 ms, 1
[18:45:10.417], STTP, 12, <--, MIX, 12, list, d8279fa0, SETUP, , , 1
[18:45:10.417], STTP, 12, , , , , , store_share, CPU: 0.003651 ms, wall: 0.002779 ms, 1
[18:45:10.417], STTP, 12, <--, MIX, 15, list, a619da8b, SETUP, , , 1
[18:45:10.417], STTP, 12, , , , , , store_share, CPU: 0.003815 ms, wall: 0.002918 ms, 1
[18:45:10.418], STTP, 12, <--, MIX, 50, list, bd008f57, SETUP, , , 1
[18:45:10.418], STTP, 12, , , , , , store_share, CPU: 0.003375 ms, wall: 0.002790 ms, 1
[18:45:10.419], STTP, 12, <--, MIX, 17, list, 9b02ddfe, SETUP, , , 1
[18:45:10.419], STTP, 12, , , , , , store_share, CPU: 0.003526 ms, wall: 0.002820 ms, 1
[18:45:10.426], STTP, 12, <--, MIX, 3, list, 8a33f0ff, SETUP, , , 1
[18:45:10.427], STTP, 12, , , , , , store_share, CPU: 0.004055 ms, wall: 0.003071 ms, 1
[18:45:10.443], STTP, 12, <--, MIX, 20, list, 2799e25d, SETUP, , , 1
[18:45:10.443], STTP, 12, , , , , , store_share, CPU: 0.003548 ms, wall: 0.002734 ms, 1
[18:45:10.450], STTP, 12, <--, MIX, 47, list, e77d27aa, SETUP, , , 1
[18:45:10.451], STTP, 12, , , , , , store_share, CPU: 0.008120 ms, wall: 0.006071 ms, 1
[18:45:10.545], STTP, 12, <--, MIX, 11, list, 4f4fc931, SETUP, , , 1
[18:45:10.546], STTP, 12, , , , , , store_share, CPU: 0.037318 ms, wall: 0.035904 ms, 1
[18:45:12.630], STTP, 12, <--, CLIENT, 37, list, 8e549920, ROUTE, , , 1
[18:45:12.631], STTP, 12, -->, CLIENT, 37, list, 14a01118, ROUTE, , , 1
[18:45:12.631], STTP, 12, , , , , , send_share, CPU: 0.795073 ms, wall: 0.808191 ms, 1
[18:45:12.706], STTP, 12, <--, CLIENT, 44, list, f4c7a294, ROUTE, , , 1
[18:45:12.707], STTP, 12, -->, CLIENT, 44, list, 41eafe1b, ROUTE, , , 1
[18:45:12.708], STTP, 12, , , , , , send_share, CPU: 0.846613 ms, wall: 0.858755 ms, 1
[18:45:12.831], STTP, 12, <--, CLIENT, 27, list, 2541202f, ROUTE, , , 1
[18:45:12.833], STTP, 12, -->, CLIENT, 27, list, 7e836ffa, ROUTE, , , 1
[18:45:12.833], STTP, 12, , , , , , send_share, CPU: 1.348511 ms, wall: 1.373358 ms, 1
[18:45:12.887], STTP, 12, <--, CLIENT, 25, list, 30f0704c, ROUTE, , , 1
[18:45:12.888], STTP, 12, -->, CLIENT, 25, list, a64d2b77, ROUTE, , , 1
[18:45:12.888], STTP, 12, , , , , , send_share, CPU: 0.753182 ms, wall: 0.765436 ms, 1
[18:45:12.907], STTP, 12, <--, CLIENT, 10, list, fb083119, ROUTE, , , 1
[18:45:12.909], STTP, 12, -->, CLIENT, 10, list, 3dd9f5ee, ROUTE, , , 1
[18:45:12.910], STTP, 12, , , , , , send_share, CPU: 2.131542 ms, wall: 2.159393 ms, 1
[18:45:12.912], STTP, 12, <--, CLIENT, 29, list, 7d43c232, ROUTE, , , 1
[18:45:12.915], STTP, 12, -->, CLIENT, 29, list, 21091ca7, ROUTE, , , 1
[18:45:12.915], STTP, 12, , , , , , send_share, CPU: 2.301192 ms, wall: 3.003992 ms, 1
[18:45:12.920], STTP, 12, <--, CLIENT, 13, list, b3d2f6b8, ROUTE, , , 1
[18:45:12.921], STTP, 12, -->, CLIENT, 13, list, a9d82d4c, ROUTE, , , 1
[18:45:12.921], STTP, 12, , , , , , send_share, CPU: 1.173535 ms, wall: 1.200011 ms, 1
[18:45:12.961], STTP, 12, <--, CLIENT, 55, list, f1e62ade, ROUTE, , , 1
[18:45:12.963], STTP, 12, -->, CLIENT, 55, list, addd1787, ROUTE, , , 1
[18:45:12.964], STTP, 12, , , , , , send_share, CPU: 2.171340 ms, wall: 2.201675 ms, 1
[18:45:12.977], STTP, 12, <--, CLIENT, 69, list, dd5d5a5d, ROUTE, , , 1
[18:45:12.978], STTP, 12, -->, CLIENT, 69, list, c2d326f0, ROUTE, , , 1
[18:45:12.979], STTP, 12, , , , , , send_share, CPU: 0.949926 ms, wall: 0.977951 ms, 1
[18:45:12.987], STTP, 12, <--, CLIENT, 39, list, c0937eb9, ROUTE, , , 1
[18:45:12.988], STTP, 12, -->, CLIENT, 39, list, 884b1cb5, ROUTE, , , 1
[18:45:12.988], STTP, 12, , , , , , send_share, CPU: 0.776366 ms, wall: 0.795279 ms, 1
[18:45:12.988], STTP, 12, <--, CLIENT, 12, list, 9c281521, ROUTE, , , 1
[18:45:12.989], STTP, 12, -->, CLIENT, 12, list, dbc6b4e5, ROUTE, , , 1
[18:45:12.989], STTP, 12, , , , , , send_share, CPU: 1.057632 ms, wall: 1.071809 ms, 1
[18:45:12.996], STTP, 12, <--, CLIENT, 21, list, a42ca0ab, ROUTE, , , 1
[18:45:12.996], STTP, 12, -->, CLIENT, 21, list, 94dcd494, ROUTE, , , 1
[18:45:12.997], STTP, 12, , , , , , send_share, CPU: 0.802080 ms, wall: 0.816952 ms, 1
[18:45:13.019], STTP, 12, <--, CLIENT, 41, list, 8a681f18, ROUTE, , , 1
[18:45:13.020], STTP, 12, -->, CLIENT, 41, list, c29f1c4b, ROUTE, , , 1
[18:45:13.020], STTP, 12, , , , , , send_share, CPU: 0.913178 ms, wall: 0.929722 ms, 1
[18:45:13.077], STTP, 12, <--, CLIENT, 59, list, 1f9ee317, ROUTE, , , 1
[18:45:13.079], STTP, 12, -->, CLIENT, 59, list, f647d65e, ROUTE, , , 1
[18:45:13.079], STTP, 12, , , , , , send_share, CPU: 2.355979 ms, wall: 2.395167 ms, 1
[18:45:13.080], STTP, 12, <--, CLIENT, 33, list, 0f3dd4e9, ROUTE, , , 1
[18:45:13.081], STTP, 12, -->, CLIENT, 33, list, ccf2dcb1, ROUTE, , , 1
[18:45:13.081], STTP, 12, , , , , , send_share, CPU: 1.073231 ms, wall: 1.084465 ms, 1
[18:45:13.102], STTP, 12, <--, CLIENT, 83, list, 5bf5ded1, ROUTE, , , 1
[18:45:13.103], STTP, 12, -->, CLIENT, 83, list, d8beb379, ROUTE, , , 1
[18:45:13.103], STTP, 12, , , , , , send_share, CPU: 1.129280 ms, wall: 1.146156 ms, 1
[18:45:13.116], STTP, 12, <--, CLIENT, 46, list, 10a8ff63, ROUTE, , , 1
[18:45:13.117], STTP, 12, -->, CLIENT, 46, list, 3bfd71ed, ROUTE, , , 1
[18:45:13.122], STTP, 12, , , , , , send_share, CPU: 1.284954 ms, wall: 5.804325 ms, 1
[18:45:13.123], STTP, 12, <--, CLIENT, 16, list, 7295c272, ROUTE, , , 1
[18:45:13.124], STTP, 12, -->, CLIENT, 16, list, eb8c6b99, ROUTE, , , 1
[18:45:13.124], STTP, 12, , , , , , send_share, CPU: 1.187885 ms, wall: 1.212251 ms, 1
[18:45:13.124], STTP, 12, <--, CLIENT, 70, list, 545edca6, ROUTE, , , 1
[18:45:13.125], STTP, 12, -->, CLIENT, 70, list, a1f3db75, ROUTE, , , 1
[18:45:13.125], STTP, 12, , , , , , send_share, CPU: 1.075285 ms, wall: 1.089148 ms, 1
[18:45:13.126], STTP, 12, <--, CLIENT, 72, list, 96c88920, ROUTE, , , 1
[18:45:13.127], STTP, 12, -->, CLIENT, 72, list, 0dc61841, ROUTE, , , 1
[18:45:13.128], STTP, 12, , , , , , send_share, CPU: 1.046844 ms, wall: 1.780808 ms, 1
[18:45:13.136], STTP, 12, <--, CLIENT, 62, list, 933930e9, ROUTE, , , 1
