[18:45:10.422], STTP, 13, , , , , , store_share, CPU: 0.003581 ms, wall: 0.002686 ms, 1
[18:45:10.422], STTP, 13, <--, MIX, 10, list, 2a613001, SETUP, , , 1
[18:45:10.422], STTP, 13, , , , , , store_share, CPU: 0.003525 ms, wall: 0.002624 ms, 1
[18:45:10.423], STTP, 13, <--, MIX, 35, list, 09deafce, SETUP, , , 1
[18:45:10.423], STTP, 13, , , , , , store_share, CPU: 0.002941 ms, wall: 0.002415 ms, 1
[18:45:10.423], STTP, 13, <--, MIX, 44, list, a14ee0ca, SETUP, , , 1
[18:45:10.424], STTP, 13, , , , , , store_share, CPU: 0.002506 ms, wall: 0.001847 ms, 1
[18:45:10.424], STTP, 13, <--, MIX, 9, list, bbcb699c, SETUP, , , 1
[18:45:10.424], STTP, 13, , , , , , store_share, CPU: 0.002077 ms, wall: 0.001688 ms, 1
[18:45:10.424], STTP, 13, <--, MIX, 39, list, 698f4858, SETUP, , , 1
[18:45:10.424], STTP, 13, , , , , , store_share, CPU: 0.001827 ms, wall: 0.001552 ms, 1
[18:45:10.424], STTP, 13, <--, MIX, 22, list, 24f56827, SETUP, , , 1
[18:45:10.425], STTP, 13, , , , , , store_share, CPU: 0.001841 ms, wall: 0.001553 ms, 1
[18:45:10.425], STTP, 13, <--, MIX, 32, list, 96968f79, SETUP, , , 1
[18:45:10.425], STTP, 13, , , , , , store_share, CPU: 0.001585 ms, wall: 0.001393 ms, 1
[18:45:10.425], STTP, 13, <--, MIX, 49, list, 3aeb7b13, SETUP, , , 1
[18:45:10.425], STTP, 13, , , , , , store_share, CPU: 0.002363 ms, wall: 0.002073 ms, 1
[18:45:10.425], STTP, 13, <--, MIX, 15, list, 492d41e5, SETUP, , , 1
[18:45:10.426], STTP, 13, , , , , , store_share, CPU: 0.001637 ms, wall: 0.001435 ms, 1
[18:45:10.426], STTP, 13, <--, MIX, 12, list, e8cabac9, SETUP, , , 1
[18:45:10.426], STTP, 13, , , , , , store_share, CPU: 0.001744 ms, wall: 0.001467 ms, 1
[18:45:10.426], STTP, 13, <--, MIX, 31, list, 22b45de3, SETUP, , , 1
[18:45:10.426], STTP, 13, , , , , , store_share, CPU: 0.001966 ms, wall: 0.001549 ms, 1
[18:45:10.426], STTP, 13, <--, MIX, 50, list, c15f3aa7, SETUP, , , 1
[18:45:10.426], STTP, 13, , , , , , store_share, CPU: 0.002137 ms, wall: 0.001685 ms, 1
[18:45:10.427], STTP, 13, <--, MIX, 17, list, 5d19b229, SETUP, , , 1
[18:45:10.427], STTP, 13, , , , , , store_share, CPU: 0.002385 ms, wall: 0.002325 ms, 1
[18:45:10.427], STTP, 13, <--, MIX, 3, list, d51286fd, SETUP, , , 1
[18:45:10.427], STTP, 13, , , , , , store_share, CPU: 0.001832 ms, wall: 0.001596 ms, 1
[18:45:10.444], STTP, 13, <--, MIX, 20, list, a50a1e0d, SETUP, , , 1
[18:45:10.445], STTP, 13, , , , , , store_share, CPU: 0.003688 ms, wall: 0.002559 ms, 1
[18:45:10.451], STTP, 13, <--, MIX, 47, list, 39946ef4, SETUP, , , 1
[18:45:10.452], STTP, 13, , , , , , store_share, CPU: 0.003532 ms, wall: 0.002635 ms, 1
[18:45:10.550], STTP, 13, <--, MIX, 11, list, ae4f2731, SETUP, , , 1
[18:45:10.551], STTP, 13, , , , , , store_share, CPU: 0.037555 ms, wall: 0.035904 ms, 1
[18:45:12.334], STTP, 13, <--, CLIENT, 4, list, 85db7534, ROUTE, , , 1
[18:45:12.335], STTP, 13, -->, CLIENT, 4, list, 8bc8e2dc, ROUTE, , , 1
[18:45:12.336], STTP, 13, , , , , , send_share, CPU: 1.277169 ms, wall: 1.300444 ms, 1
[18:45:12.540], STTP, 13, <--, CLIENT, 87, list, d0c89cc3, ROUTE, , , 1
[18:45:12.541], STTP, 13, -->, CLIENT, 87, list, 8a637db4, ROUTE, , , 1
[18:45:12.542], STTP, 13, , , , , , send_share, CPU: 1.205482 ms, wall: 1.222318 ms, 1
[18:45:12.645], STTP, 13, <--, CLIENT, 53, list, a72be044, ROUTE, , , 1
[18:45:12.646], STTP, 13, -->, CLIENT, 53, list, b6587999, ROUTE, , , 1
[18:45:12.646], STTP, 13, , , , , , send_share, CPU: 1.152813 ms, wall: 1.165767 ms, 1
[18:45:12.822], STTP, 13, <--, CLIENT, 18, list, 655423bb, ROUTE, , , 1
