[18:45:13.142], MIX, 14, , , , , , compute_shared_secret, CPU: 0.162763 ms, wall: 0.163315 ms, 
[18:45:13.143], MIX, 14, , , , , , verify_integrity, CPU: 0.238559 ms, wall: 0.238828 ms, 
[18:45:13.144], MIX, 14, , , , , , decrypt_beta, CPU: 1.116191 ms, wall: 1.123260 ms, 
[18:45:13.144], MIX, 14, , , , , , update_alpha, CPU: 0.097398 ms, wall: 0.097104 ms, 
[18:45:13.144], MIX, 14, , , , , , process_header, CPU: 2.102011 ms, wall: 2.113977 ms, 
[18:45:13.144], MIX, 14, -->, MIX, 21, Header, 2de62044, RUN, , , 
[18:45:13.282], MIX, 14, <--, CLIENT, 89, Header, 06b27eac, RUN, , , 
[18:45:13.282], MIX, 14, , , , , , compute_shared_secret, CPU: 0.138302 ms, wall: 0.138526 ms, 
[18:45:13.283], MIX, 14, , , , , , verify_integrity, CPU: 0.174338 ms, wall: 0.174256 ms, 
[18:45:13.284], MIX, 14, , , , , , decrypt_beta, CPU: 0.752772 ms, wall: 0.760676 ms, 
[18:45:13.284], MIX, 14, , , , , , update_alpha, CPU: 0.062523 ms, wall: 0.062496 ms, 
[18:45:13.284], MIX, 14, , , , , , process_header, CPU: 1.370461 ms, wall: 1.377090 ms, 
[18:45:13.284], MIX, 14, -->, MIX, 11, Header, a31bfb24, RUN, , , 
[18:45:13.288], MIX, 14, <--, MIX, 9, Header, 00db1800, RUN, , , 
[18:45:13.288], MIX, 14, , , , , , compute_shared_secret, CPU: 0.119099 ms, wall: 0.119125 ms, 
[18:45:13.289], MIX, 14, , , , , , verify_integrity, CPU: 0.142838 ms, wall: 0.142865 ms, 
[18:45:13.290], MIX, 14, , , , , , decrypt_beta, CPU: 0.773533 ms, wall: 0.786128 ms, 
[18:45:13.290], MIX, 14, , , , , , update_alpha, CPU: 0.063745 ms, wall: 0.063696 ms, 
[18:45:13.290], MIX, 14, , , , , , process_header, CPU: 1.327447 ms, wall: 1.338588 ms, 
[18:45:13.290], MIX, 14, -->, MIX, 23, Header, a412b916, RUN, , , 
