[18:45:13.280], MIX, 2, , , , , , verify_integrity, CPU: 0.202282 ms, wall: 0.208957 ms, 
[18:45:13.281], MIX, 2, , , , , , decrypt_beta, CPU: 0.751442 ms, wall: 0.751445 ms, 
[18:45:13.281], MIX, 2, , , , , , update_alpha, CPU: 0.061730 ms, wall: 0.061626 ms, 
[18:45:13.281], MIX, 2, , , , , , process_header, CPU: 1.399383 ms, wall: 1.411446 ms, 
[18:45:13.281], MIX, 2, -->, MIX, 42, Header, c42a00c8, RUN, , , 
[18:45:13.287], MIX, 2, <--, MIX, 42, Header, 110b033c, RUN, , , 
[18:45:13.288], MIX, 2, , , , , , compute_shared_secret, CPU: 0.183085 ms, wall: 0.183219 ms, 
[18:45:13.288], MIX, 2, , , , , , verify_integrity, CPU: 0.179957 ms, wall: 0.179840 ms, 
[18:45:13.289], MIX, 2, , , , , , decrypt_beta, CPU: 0.918432 ms, wall: 0.925436 ms, 
[18:45:13.289], MIX, 2, , , , , , update_alpha, CPU: 0.257940 ms, wall: 0.256996 ms, 
[18:45:13.290], MIX, 2, , , , , , process_header, CPU: 2.105274 ms, wall: 2.130389 ms, 
[18:45:13.290], MIX, 2, -->, MIX, 9, Header, 44f10a5e, RUN, , , 
[18:45:13.301], MIX, 2, <--, MIX, 26, Header, b57476d6, RUN, , , 
[18:45:13.301], MIX, 2, , , , , , compute_shared_secret, CPU: 0.123465 ms, wall: 0.123535 ms, 
[18:45:13.301], MIX, 2, , , , , , verify_integrity, CPU: 0.174272 ms, wall: 0.174240 ms, 
[18:45:13.302], MIX, 2, , , , , , decrypt_beta, CPU: 0.778081 ms, wall: 0.783156 ms, 
[18:45:13.302], MIX, 2, , , , , , update_alpha, CPU: 0.069425 ms, wall: 0.069378 ms, 
[18:45:13.302], MIX, 2, , , , , , process_header, CPU: 1.397741 ms, wall: 1.401898 ms, 
[18:45:13.303], MIX, 2, -->, CLIENT, 78, Header, a8cb0b68, RUN, , , 
