[18:45:13.262], MIX, 27, , , , , , compute_shared_secret, CPU: 0.170437 ms, wall: 0.170713 ms, 
[18:45:13.263], MIX, 27, , , , , , verify_integrity, CPU: 0.207340 ms, wall: 0.207402 ms, 
[18:45:13.264], MIX, 27, , , , , , decrypt_beta, CPU: 1.208099 ms, wall: 1.474214 ms, 
[18:45:13.264], MIX, 27, , , , , , update_alpha, CPU: 0.107708 ms, wall: 0.107384 ms, 
[18:45:13.264], MIX, 27, , , , , , process_header, CPU: 2.075539 ms, wall: 2.334632 ms, 
[18:45:13.264], MIX, 27, -->, MIX, 25, Header, f0cbfb6d, RUN, , , 
[18:45:13.295], MIX, 27, <--, MIX, 9, Header, 0e80cef4, RUN, , , 
[18:45:13.295], MIX, 27, , , , , , compute_shared_secret, CPU: 0.144718 ms, wall: 0.145184 ms, 
[18:45:13.296], MIX, 27, , , , , , verify_integrity, CPU: 0.257035 ms, wall: 0.257013 ms, 
[18:45:13.297], MIX, 27, , , , , , decrypt_beta, CPU: 1.053036 ms, wall: 1.062065 ms, 
[18:45:13.297], MIX, 27, , , , , , update_alpha, CPU: 0.098024 ms, wall: 0.097678 ms, 
[18:45:13.297], MIX, 27, , , , , , process_header, CPU: 2.039381 ms, wall: 2.053308 ms, 
[18:45:13.297], MIX, 27, -->, CLIENT, 77, Header, dfa1d4a7, RUN, , , 
[18:45:13.302], MIX, 27, <--, MIX, 50, Header, 0583e643, RUN, , , 
[18:45:13.302], MIX, 27, , , , , , compute_shared_secret, CPU: 0.115158 ms, wall: 0.115436 ms, 
[18:45:13.302], MIX, 27, , , , , , verify_integrity, CPU: 0.148169 ms, wall: 0.148199 ms, 
[18:45:13.303], MIX, 27, , , , , , decrypt_beta, CPU: 0.794498 ms, wall: 0.803089 ms, 
[18:45:13.303], MIX, 27, , , , , , update_alpha, CPU: 0.065574 ms, wall: 0.065531 ms, 
[18:45:13.303], MIX, 27, , , , , , process_header, CPU: 1.362172 ms, wall: 1.369640 ms, 
[18:45:13.303], MIX, 27, -->, MIX, 42, Header, 2ca4f18e, RUN, , , 
