[18:45:10.286], MIX, 36, -->, STTP, 1, list, 16186481, SETUP, , , 
[18:45:10.288], MIX, 36, -->, STTP, 2, list, 634d8601, SETUP, , , 
[18:45:10.289], MIX, 36, -->, STTP, 3, list, 0538a343, SETUP, , , 
[18:45:10.343], MIX, 36, -->, STTP, 4, list, 8dc24c3d, SETUP, , , 
[18:45:10.344], MIX, 36, -->, STTP, 5, list, a188fd8a, SETUP, , , 
[18:45:10.347], MIX, 36, -->, STTP, 6, list, 56d6c26d, SETUP, , , 
[18:45:10.348], MIX, 36, -->, STTP, 7, list, db9f5d2a, SETUP, , , 
[18:45:10.349], MIX, 36, -->, STTP, 8, list, 3bace974, SETUP, , , 
[18:45:10.352], MIX, 36, -->, STTP, 9, list, 71992be6, SETUP, , , 
[18:45:10.352], MIX, 36, -->, STTP, 10, list, 981c709e, SETUP, , , 
[18:45:10.355], MIX, 36, -->, STTP, 11, list, 8b9687e5, SETUP, , , 
[18:45:10.356], MIX, 36, -->, STTP, 12, list, 5b8a7c84, SETUP, , , 
[18:45:10.357], MIX, 36, -->, STTP, 13, list, d4a86abb, SETUP, , , 
[18:45:10.359], MIX, 36, -->, STTP, 14, list, e03eda78, SETUP, , , 
[18:45:10.394], MIX, 36, -->, STTP, 15, list, a94b89fe, SETUP, , , 
[18:45:10.394], MIX, 36, -->, STTP, 16, list, af13f6fd, SETUP, , , 
[18:45:10.395], MIX, 36, -->, STTP, 17, list, 2905953d, SETUP, , , 
[18:45:10.396], MIX, 36, -->, STTP, 18, list, 144703ea, SETUP, , , 
[18:45:10.396], MIX, 36, -->, STTP, 19, list, 25adece2, SETUP, , , 
[18:45:10.399], MIX, 36, -->, STTP, 20, list, f6cf09d5, SETUP, , , 
[18:45:10.408], MIX, 36, , , , , , setup, CPU: 16.367072 ms, wall: 122.177150 ms, 
[18:45:12.665], MIX, 36, <--, MIX, 5, Header, 9f0fcb5f, RUN, , , 
[18:45:12.665], MIX, 36, , , , , , compute_shared_secret, CPU: 0.133588 ms, wall: 0.133569 ms, 
[18:45:12.665], MIX, 36, , , , , , verify_integrity, CPU: 0.179637 ms, wall: 0.179782 ms, 
[18:45:12.666], MIX, 36, , , , , , decrypt_beta, CPU: 0.781011 ms, wall: 0.788041 ms, 
[18:45:12.666], MIX, 36, , , , , , update_alpha, CPU: 0.062444 ms, wall: 0.062365 ms, 
[18:45:12.666], MIX, 36, , , , , , process_header, CPU: 1.435836 ms, wall: 1.448579 ms, 
[18:45:12.666], MIX, 36, -->, MIX, 25, Header, 4649aebf, RUN, , , 
[18:45:12.818], MIX, 36, <--, MIX, 18, Header, 750f7a19, RUN, , , 
