[18:45:13.252], MIX, 38, , , , , , compute_shared_secret, CPU: 0.169591 ms, wall: 0.169781 ms, 
[18:45:13.253], MIX, 38, , , , , , verify_integrity, CPU: 0.301249 ms, wall: 0.301307 ms, 
[18:45:13.254], MIX, 38, , , , , , decrypt_beta, CPU: 0.945490 ms, wall: 0.953169 ms, 
[18:45:13.254], MIX, 38, , , , , , update_alpha, CPU: 0.063627 ms, wall: 0.063440 ms, 
[18:45:13.254], MIX, 38, , , , , , process_header, CPU: 1.820370 ms, wall: 1.827187 ms, 
[18:45:13.254], MIX, 38, -->, MIX, 5, Header, a3e3eb01, RUN, , , 
[18:45:13.256], MIX, 38, <--, MIX, 5, Header, 2b5895df, RUN, , , 
[18:45:13.257], MIX, 38, , , , , , compute_shared_secret, CPU: 0.172725 ms, wall: 0.172926 ms, 
[18:45:13.257], MIX, 38, , , , , , verify_integrity, CPU: 0.223329 ms, wall: 0.231259 ms, 
[18:45:13.258], MIX, 38, , , , , , decrypt_beta, CPU: 1.209120 ms, wall: 1.215627 ms, 
[18:45:13.259], MIX, 38, , , , , , update_alpha, CPU: 0.098045 ms, wall: 0.098095 ms, 
[18:45:13.259], MIX, 38, , , , , , process_header, CPU: 2.106748 ms, wall: 2.119964 ms, 
[18:45:13.259], MIX, 38, -->, MIX, 45, Header, 3c147b91, RUN, , , 
