[18:45:13.250], MIX, 32, , , , , , compute_shared_secret, CPU: 0.181806 ms, wall: 0.182022 ms, 
[18:45:13.250], MIX, 32, , , , , , verify_integrity, CPU: 0.241155 ms, wall: 0.241967 ms, 
[18:45:13.251], MIX, 32, , , , , , decrypt_beta, CPU: 1.176374 ms, wall: 1.182696 ms, 
[18:45:13.251], MIX, 32, , , , , , update_alpha, CPU: 0.102341 ms, wall: 0.102125 ms, 
[18:45:13.252], MIX, 32, , , , , , process_header, CPU: 2.190004 ms, wall: 2.201759 ms, 
[18:45:13.252], MIX, 32, -->, MIX, 23, Header, 637ddc0a, RUN, , , 
[18:45:13.284], MIX, 32, <--, MIX, 11, Header, f8c0925e, RUN, , , 
[18:45:13.285], MIX, 32, , , , , , compute_shared_secret, CPU: 0.350638 ms, wall: 0.361668 ms, 
[18:45:13.286], MIX, 32, , , , , , verify_integrity, CPU: 0.468678 ms, wall: 0.468703 ms, 
[18:45:13.288], MIX, 32, , , , , , decrypt_beta, CPU: 2.490803 ms, wall: 2.517750 ms, 
[18:45:13.289], MIX, 32, , , , , , update_alpha, CPU: 0.216466 ms, wall: 0.216075 ms, 
[18:45:13.289], MIX, 32, , , , , , process_header, CPU: 4.222880 ms, wall: 4.267154 ms, 
[18:45:13.289], MIX, 32, -->, MIX, 48, Header, 52aa2ac1, RUN, , , 
