[18:45:13.225], MIX, 23, , , , , , compute_shared_secret, CPU: 0.231366 ms, wall: 0.594755 ms, 
[18:45:13.227], MIX, 23, , , , , , verify_integrity, CPU: 0.351390 ms, wall: 2.175917 ms, 
[18:45:13.228], MIX, 23, , , , , , decrypt_beta, CPU: 1.215891 ms, wall: 1.221726 ms, 
[18:45:13.228], MIX, 23, , , , , , update_alpha, CPU: 0.102110 ms, wall: 0.102042 ms, 
[18:45:13.229], MIX, 23, , , , , , process_header, CPU: 2.412511 ms, wall: 4.663427 ms, 
[18:45:13.229], MIX, 23, -->, MIX, 2, Header, 0e92f567, RUN, , , 
[18:45:13.231], MIX, 23, <--, MIX, 38, Header, 99190b12, RUN, , , 
[18:45:13.232], MIX, 23, , , , , , compute_shared_secret, CPU: 0.171573 ms, wall: 0.171838 ms, 
[18:45:13.232], MIX, 23, , , , , , verify_integrity, CPU: 0.263103 ms, wall: 0.270403 ms, 
[18:45:13.233], MIX, 23, , , , , , decrypt_beta, CPU: 1.206782 ms, wall: 1.214963 ms, 
[18:45:13.234], MIX, 23, , , , , , update_alpha, CPU: 0.104190 ms, wall: 0.103930 ms, 
[18:45:13.234], MIX, 23, , , , , , process_header, CPU: 2.176083 ms, wall: 2.190352 ms, 
[18:45:13.234], MIX, 23, -->, MIX, 45, Header, 194b9073, RUN, , , 
[18:45:13.254], MIX, 23, <--, MIX, 32, Header, 940a977a, RUN, , , 
[18:45:13.255], MIX, 23, , , , , , compute_shared_secret, CPU: 0.177210 ms, wall: 0.177362 ms, 
[18:45:13.255], MIX, 23, , , , , , verify_integrity, CPU: 0.282895 ms, wall: 0.381241 ms, 
[18:45:13.257], MIX, 23, , , , , , decrypt_beta, CPU: 1.248881 ms, wall: 1.255642 ms, 
[18:45:13.257], MIX, 23, , , , , , update_alpha, CPU: 0.096952 ms, wall: 0.096817 ms, 
[18:45:13.257], MIX, 23, , , , , , process_header, CPU: 2.234969 ms, wall: 2.410653 ms, 
[18:45:13.257], MIX, 23, -->, MIX, 30, Header, c270e31c, RUN, , , 
[18:45:13.266], MIX, 23, <--, CLIENT, 5, Header, 66415941, RUN, , , 
[18:45:13.267], MIX, 23, , , , , , compute_shared_secret, CPU: 0.351108 ms, wall: 0.376625 ms, 
[18:45:13.268], MIX, 23, , , , , , verify_integrity, CPU: 0.361378 ms, wall: 0.361256 ms, 
[18:45:13.270], MIX, 23, , , , , , decrypt_beta, CPU: 2.488492 ms, wall: 2.522574 ms, 
[18:45:13.271], MIX, 23, , , , , , update_alpha, CPU: 0.212532 ms, wall: 0.214113 ms, 
[18:45:13.271], MIX, 23, , , , , , process_header, CPU: 4.056533 ms, wall: 4.114396 ms, 
[18:45:13.271], MIX, 23, -->, MIX, 3, Header, c06107e5, RUN, , , 
[18:45:13.278], MIX, 23, <--, MIX, 41, Header, d526f3a3, RUN, , , 
[18:45:13.278], MIX, 23, , , , , , compute_shared_secret, CPU: 0.122908 ms, wall: 0.122902 ms, 
[18:45:13.278], MIX, 23, , , , , , verify_integrity, CPU: 0.182821 ms, wall: 0.182781 ms, 
[18:45:13.279], MIX, 23, , , , , , decrypt_beta, CPU: 0.797653 ms, wall: 0.804836 ms, 
[18:45:13.279], MIX, 23, , , , , , update_alpha, CPU: 0.067022 ms, wall: 0.067004 ms, 
[18:45:13.279], MIX, 23, , , , , , process_header, CPU: 1.445784 ms, wall: 1.452093 ms, 
[18:45:13.280], MIX, 23, -->, CLIENT, 98, Header, 6955aebe, RUN, , , 
[18:45:13.294], MIX, 23, <--, MIX, 14, Header, eca060b4, RUN, , , 
[18:45:13.296], MIX, 23, , , , , , compute_shared_secret, CPU: 0.353953 ms, wall: 0.354842 ms, 
[18:45:13.296], MIX, 23, , , , , , verify_integrity, CPU: 0.374272 ms, wall: 0.374387 ms, 
[18:45:13.299], MIX, 23, , , , , , decrypt_beta, CPU: 2.522244 ms, wall: 2.699730 ms, 
[18:45:13.300], MIX, 23, , , , , , update_alpha, CPU: 0.219516 ms, wall: 0.218744 ms, 
[18:45:13.300], MIX, 23, , , , , , process_header, CPU: 4.209749 ms, wall: 4.414011 ms, 
[18:45:13.300], MIX, 23, -->, CLIENT, 90, Header, 237af2a3, RUN, , , 
[18:45:13.314], MIX, 23, <--, MIX, 45, Header, 822e1e39, RUN, , , 
[18:45:13.314], MIX, 23, , , , , , compute_shared_secret, CPU: 0.122212 ms, wall: 0.122216 ms, 
[18:45:13.314], MIX, 23, , , , , , verify_integrity, CPU: 0.147342 ms, wall: 0.147005 ms, 
[18:45:13.315], MIX, 23, , , , , , decrypt_beta, CPU: 0.790467 ms, wall: 0.796039 ms, 
[18:45:13.315], MIX, 23, , , , , , update_alpha, CPU: 0.063353 ms, wall: 0.063390 ms, 
[18:45:13.315], MIX, 23, , , , , , process_header, CPU: 1.370532 ms, wall: 1.381334 ms, 
[18:45:13.315], MIX, 23, -->, CLIENT, 58, Header, f86ceaba, RUN, , , 
