[18:45:13.239], MIX, 49, , , , , , compute_shared_secret, CPU: 0.187727 ms, wall: 0.187856 ms, 
[18:45:13.240], MIX, 49, , , , , , verify_integrity, CPU: 0.276758 ms, wall: 0.278767 ms, 
[18:45:13.243], MIX, 49, , , , , , decrypt_beta, CPU: 1.291758 ms, wall: 3.302857 ms, 
[18:45:13.243], MIX, 49, , , , , , update_alpha, CPU: 0.111200 ms, wall: 0.112452 ms, 
[18:45:13.243], MIX, 49, , , , , , process_header, CPU: 2.335022 ms, wall: 4.345859 ms, 
[18:45:13.244], MIX, 49, -->, CLIENT, 46, Header, 5948cebd, RUN, , , 
[18:45:13.259], MIX, 49, <--, MIX, 6, Header, 7e5af53b, RUN, , , 
[18:45:13.259], MIX, 49, , , , , , compute_shared_secret, CPU: 0.124431 ms, wall: 0.124502 ms, 
[18:45:13.259], MIX, 49, , , , , , verify_integrity, CPU: 0.148313 ms, wall: 0.148332 ms, 
[18:45:13.260], MIX, 49, , , , , , decrypt_beta, CPU: 0.799057 ms, wall: 0.805480 ms, 
[18:45:13.260], MIX, 49, , , , , , update_alpha, CPU: 0.068875 ms, wall: 0.068798 ms, 
[18:45:13.260], MIX, 49, , , , , , process_header, CPU: 1.408904 ms, wall: 1.414365 ms, 
[18:45:13.260], MIX, 49, -->, CLIENT, 16, Header, 0d942204, RUN, , , 
[18:45:13.299], MIX, 49, <--, MIX, 7, Header, 3d88de91, RUN, , , 
[18:45:13.299], MIX, 49, , , , , , compute_shared_secret, CPU: 0.119491 ms, wall: 0.119503 ms, 
[18:45:13.300], MIX, 49, , , , , , verify_integrity, CPU: 0.168664 ms, wall: 0.168608 ms, 
[18:45:13.300], MIX, 49, , , , , , decrypt_beta, CPU: 0.758530 ms, wall: 0.764426 ms, 
[18:45:13.300], MIX, 49, , , , , , update_alpha, CPU: 0.063641 ms, wall: 0.063583 ms, 
[18:45:13.300], MIX, 49, , , , , , process_header, CPU: 1.337416 ms, wall: 1.342275 ms, 
[18:45:13.301], MIX, 49, -->, MIX, 5, Header, a23fad89, RUN, , , 
