[18:45:10.186], MIX, 42, -->, STTP, 1, list, 85426189, SETUP, , , 
[18:45:10.187], MIX, 42, -->, STTP, 2, list, 94350ad9, SETUP, , , 
[18:45:10.188], MIX, 42, -->, STTP, 3, list, 40269efb, SETUP, , , 
[18:45:10.188], MIX, 42, -->, STTP, 4, list, d7d9e371, SETUP, , , 
[18:45:10.189], MIX, 42, -->, STTP, 5, list, 11430621, SETUP, , , 
[18:45:10.190], MIX, 42, -->, STTP, 6, list, d4401a36, SETUP, , , 
[18:45:10.190], MIX, 42, -->, STTP, 7, list, 03e35442, SETUP, , , 
[18:45:10.238], MIX, 42, -->, STTP, 8, list, f16ed4d8, SETUP, , , 
[18:45:10.248], MIX, 42, -->, STTP, 9, list, 6d8c9efd, SETUP, , , 
[18:45:10.260], MIX, 42, -->, STTP, 10, list, b610a8e3, SETUP, , , 
[18:45:10.308], MIX, 42, -->, STTP, 11, list, 69884373, SETUP, , , 
[18:45:10.310], MIX, 42, -->, STTP, 12, list, a5723329, SETUP, , , 
[18:45:10.314], MIX, 42, -->, STTP, 13, list, c2e454e9, SETUP, , , 
[18:45:10.316], MIX, 42, -->, STTP, 14, list, 7db5c373, SETUP, , , 
[18:45:10.318], MIX, 42, -->, STTP, 15, list, 6924af43, SETUP, , , 
[18:45:10.320], MIX, 42, -->, STTP, 16, list, 9a925bc9, SETUP, , , 
[18:45:10.371], MIX, 42, -->, STTP, 17, list, e4754428, SETUP, , , 
[18:45:10.379], MIX, 42, -->, STTP, 18, list, b4c4cbc4, SETUP, , , 
[18:45:10.381], MIX, 42, -->, STTP, 19, list, 36cb6faf, SETUP, , , 
[18:45:10.384], MIX, 42, -->, STTP, 20, list, 244429db, SETUP, , , 
[18:45:10.384], MIX, 42, , , , , , setup, CPU: 25.969448 ms, wall: 198.621451 ms, 
[18:45:12.970], MIX, 42, <--, MIX, 45, Header, d28a5307, RUN, , , 
[18:45:12.970], MIX, 42, , , , , , compute_shared_secret, CPU: 0.140964 ms, wall: 0.153973 ms, 
[18:45:12.970], MIX, 42, , , , , , verify_integrity, CPU: 0.164515 ms, wall: 0.164415 ms, 
[18:45:12.971], MIX, 42, , , , , , decrypt_beta, CPU: 0.806508 ms, wall: 0.845774 ms, 
[18:45:12.971], MIX, 42, , , , , , update_alpha, CPU: 0.063865 ms, wall: 0.063866 ms, 
[18:45:12.971], MIX, 42, , , , , , process_header, CPU: 1.449694 ms, wall: 1.509172 ms, 
[18:45:12.971], MIX, 42, -->, MIX, 16, Header, c89b6f0a, RUN, , , 
[18:45:12.991], MIX, 42, <--, MIX, 36, Header, cb9c0609, RUN, , , 
[18:45:12.992], MIX, 42, , , , , , compute_shared_secret, CPU: 0.230666 ms, wall: 0.252238 ms, 
[18:45:12.992], MIX, 42, , , , , , verify_integrity, CPU: 0.222397 ms, wall: 0.222194 ms, 
[18:45:12.993], MIX, 42, , , , , , decrypt_beta, CPU: 0.763040 ms, wall: 0.768126 ms, 
[18:45:12.993], MIX, 42, , , , , , update_alpha, CPU: 0.063894 ms, wall: 0.063868 ms, 
[18:45:12.993], MIX, 42, , , , , , process_header, CPU: 1.553021 ms, wall: 1.577079 ms, 
[18:45:12.993], MIX, 42, -->, CLIENT, 54, Header, 92ac78be, RUN, , , 
[18:45:13.000], MIX, 42, <--, MIX, 43, Header, 66504498, RUN, , , 
[18:45:13.000], MIX, 42, , , , , , compute_shared_secret, CPU: 0.118796 ms, wall: 0.118878 ms, 
[18:45:13.001], MIX, 42, , , , , , verify_integrity, CPU: 0.145567 ms, wall: 0.145405 ms, 
[18:45:13.001], MIX, 42, , , , , , decrypt_beta, CPU: 0.731350 ms, wall: 0.736737 ms, 
[18:45:13.001], MIX, 42, , , , , , update_alpha, CPU: 0.060756 ms, wall: 0.060660 ms, 
[18:45:13.002], MIX, 42, , , , , , process_header, CPU: 1.281335 ms, wall: 1.285793 ms, 
[18:45:13.002], MIX, 42, -->, CLIENT, 93, Header, 07aefb2b, RUN, , , 
[18:45:13.283], MIX, 42, <--, MIX, 9, Header, 8fc15e6c, RUN, , , 
[18:45:13.283], MIX, 42, , , , , , compute_shared_secret, CPU: 0.121303 ms, wall: 0.121348 ms, 
[18:45:13.283], MIX, 42, , , , , , verify_integrity, CPU: 0.146692 ms, wall: 0.146661 ms, 
[18:45:13.284], MIX, 42, , , , , , decrypt_beta, CPU: 0.805741 ms, wall: 0.814520 ms, 
[18:45:13.284], MIX, 42, , , , , , update_alpha, CPU: 0.064001 ms, wall: 0.063929 ms, 
[18:45:13.284], MIX, 42, , , , , , process_header, CPU: 1.400398 ms, wall: 1.408376 ms, 
[18:45:13.285], MIX, 42, -->, MIX, 2, Header, 4a2672f4, RUN, , , 
[18:45:13.286], MIX, 42, <--, MIX, 2, Header, acd452ff, RUN, , , 
[18:45:13.286], MIX, 42, , , , , , compute_shared_secret, CPU: 0.117335 ms, wall: 0.117354 ms, 
[18:45:13.287], MIX, 42, , , , , , verify_integrity, CPU: 0.169826 ms, wall: 0.169943 ms, 
[18:45:13.288], MIX, 42, , , , , , decrypt_beta, CPU: 0.789138 ms, wall: 0.794452 ms, 
[18:45:13.288], MIX, 42, , , , , , update_alpha, CPU: 0.063112 ms, wall: 0.062983 ms, 
[18:45:13.288], MIX, 42, , , , , , process_header, CPU: 1.390471 ms, wall: 1.394802 ms, 
[18:45:13.288], MIX, 42, -->, CLIENT, 82, Header, 28d4d60a, RUN, , , 
[18:45:13.307], MIX, 42, <--, MIX, 27, Header, e5d096af, RUN, , , 
[18:45:13.308], MIX, 42, , , , , , compute_shared_secret, CPU: 0.130720 ms, wall: 0.130802 ms, 
[18:45:13.308], MIX, 42, , , , , , verify_integrity, CPU: 0.152732 ms, wall: 0.152639 ms, 
[18:45:13.309], MIX, 42, , , , , , decrypt_beta, CPU: 0.755123 ms, wall: 0.761264 ms, 
[18:45:13.309], MIX, 42, , , , , , update_alpha, CPU: 0.062528 ms, wall: 0.062484 ms, 
[18:45:13.309], MIX, 42, , , , , , process_header, CPU: 1.334651 ms, wall: 1.339762 ms, 
[18:45:13.309], MIX, 42, -->, CLIENT, 92, Header, a1352245, RUN, , , 
