[18:45:13.281], MIX, 30, , , , , , compute_shared_secret, CPU: 0.131336 ms, wall: 0.131426 ms, 
[18:45:13.281], MIX, 30, , , , , , verify_integrity, CPU: 0.167592 ms, wall: 0.167564 ms, 
[18:45:13.282], MIX, 30, , , , , , decrypt_beta, CPU: 0.816851 ms, wall: 0.825015 ms, 
[18:45:13.282], MIX, 30, , , , , , update_alpha, CPU: 0.066598 ms, wall: 0.066440 ms, 
[18:45:13.282], MIX, 30, , , , , , process_header, CPU: 1.424852 ms, wall: 1.431820 ms, 
[18:45:13.282], MIX, 30, -->, MIX, 7, Header, 0f0e7f17, RUN, , , 
[18:45:13.284], MIX, 30, <--, MIX, 23, Header, 4f802e92, RUN, , , 
[18:45:13.284], MIX, 30, , , , , , compute_shared_secret, CPU: 0.104018 ms, wall: 0.104084 ms, 
[18:45:13.284], MIX, 30, , , , , , verify_integrity, CPU: 0.226974 ms, wall: 0.232538 ms, 
[18:45:13.285], MIX, 30, , , , , , decrypt_beta, CPU: 1.246742 ms, wall: 1.253540 ms, 
[18:45:13.286], MIX, 30, , , , , , update_alpha, CPU: 0.105532 ms, wall: 0.105430 ms, 
[18:45:13.286], MIX, 30, , , , , , process_header, CPU: 1.997457 ms, wall: 2.008874 ms, 
[18:45:13.286], MIX, 30, -->, MIX, 9, Header, f42169e5, RUN, , , 
[18:45:13.288], MIX, 30, <--, MIX, 40, Header, bd0d4fc6, RUN, , , 
[18:45:13.289], MIX, 30, , , , , , compute_shared_secret, CPU: 0.165682 ms, wall: 0.165992 ms, 
[18:45:13.289], MIX, 30, , , , , , verify_integrity, CPU: 0.253557 ms, wall: 0.260408 ms, 
[18:45:13.290], MIX, 30, , , , , , decrypt_beta, CPU: 0.803044 ms, wall: 0.803288 ms, 
[18:45:13.290], MIX, 30, , , , , , update_alpha, CPU: 0.079563 ms, wall: 0.079461 ms, 
[18:45:13.290], MIX, 30, , , , , , process_header, CPU: 1.637596 ms, wall: 1.649404 ms, 
[18:45:13.290], MIX, 30, -->, MIX, 11, Header, b84e859a, RUN, , , 
