by,test,wasserstein,wasserstein_o,wasserstein_d,ks,ks_pvalue,ks_o,ks_o_pvalue,ks_d,ks_d_pvalue
headerwise,1,0.0019335680302768599,0.004011181851638049,0.004372856768177034,0.005161830357142857,0.9999801982608256,0.01498461751755753,0.07918617104421433,0.01688268572787044,0.0332279129563986
bitwise,1,0.007303314756049704,0.007044643035718709,0.003895833605040332,0.021902901785714284,0.06420485386245821,0.02473204251928318,0.00030560363218529467,0.01435132386578164,0.10338947325413395
headerwise,2,0.0037408752916345054,0.003303508830761336,0.0034057117247342553,0.015206473214285714,0.3786093146865683,0.011607490739005688,0.2867598737073832,0.011922794229291767,0.2579809709161357
bitwise,2,0.006001485086569745,0.001867795266403542,0.004739969602353905,0.015485491071428572,0.3564847961391332,0.007374931069516422,0.8275971723897416,0.013137916023141183,0.16684766184542899
headerwise,3,0.009466880690202727,0.002509731251071772,0.008652196237726999,0.021205357142857144,0.07964732517339326,0.008750494775360745,0.6392803482846502,0.02089354948989597,0.0037746784757631455
bitwise,3,0.0026719895668339704,0.00418349262671034,0.003731700515631677,0.009905133928571428,0.8734657347511421,0.011586103973642459,0.2887919136215421,0.013374818144237854,0.1524769650817106
headerwise,4,0.006597176319878537,0.005993188490649472,0.001991729184581877,0.012555803571428572,0.6243876436199266,0.014025263864665294,0.11807312188335184,0.006483833989908372,0.9219102973785528
bitwise,4,0.006496702502604711,0.006322214701150975,0.0034758049378747487,0.0185546875,0.16944885368327425,0.014220253477691958,0.10909906144075787,0.011048402685010728,0.34324503134552575
