algo,iteration,test,p-value
Decentralized,48,4,0.34811996337655204
Decentralized,49,1,0.9059774116720972
Decentralized,49,2,0.9166485990101342
Decentralized,49,3,0.9812849038804238
Decentralized,49,4,0.4925700727476626
Decentralized,50,1,0.5083315735521454
Decentralized,50,2,0.224021182622223
Decentralized,50,3,0.18413707976538496
Decentralized,50,4,0.7950069208290134
Decentralized,51,1,0.46398171640090335
Decentralized,51,2,0.02202321190222898
Decentralized,51,3,0.7998544923190589
Decentralized,51,4,0.8000735530110342
Decentralized,52,1,0.13668890036849218
Decentralized,52,2,0.798525832530097
Decentralized,52,3,0.023145393954248937
Decentralized,52,4,0.040491839222508125
Decentralized,53,1,0.13057001811573626
Decentralized,53,2,0.8517004458823216
Decentralized,53,3,0.05915367887594574
Decentralized,53,4,0.35645393302320644
Decentralized,54,1,0.26688242103941223
Decentralized,54,2,0.6574453550170444
Decentralized,54,3,0.6946209239057999
Decentralized,54,4,0.04956141931865144
Decentralized,55,1,0.35689987420152325
Decentralized,55,2,0.34913586343387043
Decentralized,55,3,0.1825125459741425
Decentralized,55,4,0.8780905126011522
Decentralized,56,1,0.21056719782505498
Decentralized,56,2,0.04099912291708718
Decentralized,56,3,0.6668957360354132
Decentralized,56,4,0.5878205899227951
Decentralized,57,1,0.3693638418253291
Decentralized,57,2,0.7559918334482151
Decentralized,57,3,0.6297864540250637
Decentralized,57,4,0.9166871650042572
Decentralized,58,1,0.7054569861112734
Decentralized,58,2,0.64172187018864
Decentralized,58,3,0.4774654929746045
Decentralized,58,4,0.25770851434898356
Decentralized,59,1,0.9247190374867695
Decentralized,59,2,0.5015802956540713
Decentralized,59,3,0.6033449504505264
Decentralized,59,4,0.9861792346316763
Decentralized,60,1,0.47852097654419784
Decentralized,60,2,0.9449741681903917
Decentralized,60,3,0.6578150750346166
Decentralized,60,4,0.440097644093126
Decentralized,61,1,0.5235940826586801
Decentralized,61,2,0.5934558482662278
Decentralized,61,3,0.6844374897849304
Decentralized,61,4,0.39108783785893797
Decentralized,62,1,0.9435025420623953
Decentralized,62,2,0.3075788194851605
Decentralized,62,3,0.04220418348598648
Decentralized,62,4,0.32015670755477915
Decentralized,63,1,0.5235940826586801
Decentralized,63,2,0.7219656100819483
Decentralized,63,3,0.7551022306535621
Decentralized,63,4,0.8973299694277186
Decentralized,64,1,0.7408568142938687
Decentralized,64,2,0.7932222033805942
Decentralized,64,3,0.851117137851402
Decentralized,64,4,0.8636278250721309
Decentralized,65,1,0.7054569861112734
Decentralized,65,2,0.1798488466939864
Decentralized,65,3,0.4486716848564971
Decentralized,65,4,0.48723047326019076
Decentralized,66,1,0.28777057773560444
Decentralized,66,2,0.6166186362435194
Decentralized,66,3,0.2611000295148348
Decentralized,66,4,0.21523474440615514
Decentralized,67,1,0.5083315735521454
Decentralized,67,2,0.7787142480534028
Decentralized,67,3,0.9393869066612477
Decentralized,67,4,0.5022757788512608
Decentralized,68,1,0.3820949220121075
Decentralized,68,2,0.48508027969239953
Decentralized,68,3,0.8615500408164579
Decentralized,68,4,0.8394435244655662
Decentralized,69,1,0.0689184442895021
Decentralized,69,2,0.3239091130453052
Decentralized,69,3,0.7885909323145336
Decentralized,69,4,0.30365588416315387
Decentralized,70,1,0.000865930884096821
Decentralized,70,2,0.1508242709639072
Decentralized,70,3,0.48450960313498526
Decentralized,70,4,0.08510217157821809
Decentralized,71,1,0.18587673236587599
Decentralized,71,2,0.9846130695055005
Decentralized,71,3,0.540942290991412
Decentralized,71,4,0.49817071403214597
Decentralized,72,1,0.44969179796889097
Decentralized,72,2,0.9007998399701881
Decentralized,72,3,0.5593100195478131
Decentralized,72,4,0.7268180561158206
Decentralized,73,1,0.11897189696190033
Decentralized,73,2,0.9990466316576329
Decentralized,73,3,0.2545496181885086
Decentralized,73,4,0.15249059562212638
Decentralized,74,1,0.6366016325636009
Decentralized,74,2,0.5015802956540713
Decentralized,74,3,0.6725968168742145
Decentralized,74,4,0.9442108373009671
Decentralized,75,1,0.25683925795785667
Decentralized,75,2,0.5724004444949802
Decentralized,75,3,0.21357549691884384
Decentralized,75,4,0.8961975553853936
Decentralized,76,1,0.30973439009669346
Decentralized,76,2,0.5275797446176382
Decentralized,76,3,0.9337979609140481
Decentralized,76,4,0.9452662763177588
Decentralized,77,1,0.3327777660739457
Decentralized,77,2,0.522850083808009
Decentralized,77,3,0.9723133067824892
Decentralized,77,4,0.497859355603124
Decentralized,78,1,0.5235940826586801
Decentralized,78,2,0.6618972983145999
Decentralized,78,3,0.8724371249045964
Decentralized,78,4,0.735838416250288
Decentralized,79,1,0.6879878128600834
Decentralized,79,2,0.5464883798338341
Decentralized,79,3,0.26769310800066115
Decentralized,79,4,0.667389730245282
Decentralized,80,1,0.1563757217596446
Decentralized,80,2,0.8139773450278069
Decentralized,80,3,0.5707140728356526
Decentralized,80,4,0.6579455219223094
Decentralized,81,1,0.9059774116720972
Decentralized,81,2,0.1174998806164917
Decentralized,81,3,0.6197221890098554
Decentralized,81,4,0.7769615430141285
Decentralized,82,1,0.49330567679929904
Decentralized,82,2,0.8645098191177465
Decentralized,82,3,0.31839320534864235
Decentralized,82,4,0.26249521693145117
Decentralized,83,1,0.7054569861112734
Decentralized,83,2,0.008623147320966067
Decentralized,83,3,0.3941450571390388
Decentralized,83,4,0.8067987866991869
Decentralized,84,1,0.21056719782505498
Decentralized,84,2,0.041943642223050547
Decentralized,84,3,0.6067587977073006
Decentralized,84,4,0.7616471256969518
Decentralized,85,1,0.6198391186854189
Decentralized,85,2,0.05718696128899415
Decentralized,85,3,0.63866583300772
Decentralized,85,4,0.8939875589180184
Decentralized,86,1,0.9811535017561899
Decentralized,86,2,0.6027545443642709
Decentralized,86,3,0.6535569970365289
Decentralized,86,4,0.7123695968127794
Decentralized,87,1,0.2020863098880193
Decentralized,87,2,0.18279669137643662
Decentralized,87,3,0.055075070006272125
Decentralized,87,4,0.6999715486059155
Decentralized,88,1,0.6706835715634084
Decentralized,88,2,0.7321846539980043
Decentralized,88,3,0.7571393670605642
Decentralized,88,4,0.3882004242672415
Decentralized,89,1,0.8686610629910667
Decentralized,89,2,0.028842922335014027
Decentralized,89,3,0.33293716095645853
Decentralized,89,4,0.973063691262829
Decentralized,90,1,0.7408568142938687
Decentralized,90,2,0.20753041733755928
Decentralized,90,3,0.851117137851402
Decentralized,90,4,0.0037908184361597447
Decentralized,91,1,0.3693638418253291
Decentralized,91,2,0.9215048320226026
Decentralized,91,3,0.8575570878562495
Decentralized,91,4,0.6739271217297852
Decentralized,92,1,0.776814004155482
Decentralized,92,2,0.4131980040146135
Decentralized,92,3,0.8880365335625778
Decentralized,92,4,0.6106893873415742
Decentralized,93,1,0.024821847611052793
Decentralized,93,2,0.010037409976702306
Decentralized,93,3,0.8962140765597004
Decentralized,93,4,0.08594590140250012
Decentralized,94,1,0.24706152509165813
Decentralized,94,2,0.47099070891839623
Decentralized,94,3,0.0965724320258638
Decentralized,94,4,0.9526743363943243
Decentralized,95,1,0.24706152509165813
Decentralized,95,2,0.8778797831471407
Decentralized,95,3,0.6763195203611498
Decentralized,95,4,0.45343087355486367
Decentralized,96,1,0.5083315735521454
Decentralized,96,2,0.1521269692122253
Decentralized,96,3,0.2491489150669488
Decentralized,96,4,0.8777562258716227
Decentralized,97,1,1.0
Decentralized,97,2,0.833481400902594
Decentralized,97,3,0.2193026496793189
Decentralized,97,4,0.5512528941841308
Decentralized,98,1,0.44969179796889097
Decentralized,98,2,0.6903440995117505
Decentralized,98,3,0.5126347433826143
Decentralized,98,4,0.8565504624287696
Decentralized,99,1,0.5869067909030202
Decentralized,99,2,0.4476661383709868
Decentralized,99,3,0.8714008324765038
Decentralized,99,4,0.9993548438662453
Decentralized,100,1,0.21930264967931895
Decentralized,100,2,0.08396038015292631
Decentralized,100,3,0.0644915764773626
Decentralized,100,4,0.08848138242178488
Decentralized,101,1,0.7949790371604146
Decentralized,101,2,0.8054789197584243
Decentralized,101,3,0.554270800230926
Decentralized,101,4,0.9870616656902391
Decentralized,102,1,0.22829528710911837
Decentralized,102,2,0.14317321051253207
Decentralized,102,3,0.1288519959495562
Decentralized,102,4,0.3407706936304117
Decentralized,103,1,0.6366016325636009
Decentralized,103,2,0.6903440995117505
Decentralized,103,3,0.07599697785654581
Decentralized,103,4,0.6156352341328546
Decentralized,104,1,0.8686610629910667
Decentralized,104,2,0.6349203045185445
Decentralized,104,3,0.25670197749608614
Decentralized,104,4,0.8170094354194073
Decentralized,105,1,0.35689987420152325
Decentralized,105,2,0.10109812294895303
Decentralized,105,3,0.6294238746395163
Decentralized,105,4,0.10341763977819307
Decentralized,106,1,0.29861767444881016
Decentralized,106,2,0.7073820533888484
Decentralized,106,3,0.8231456342943391
Decentralized,106,4,0.5048591845536077
Decentralized,107,1,0.6879878128600834
Decentralized,107,2,0.2502159023696738
Decentralized,107,3,0.7245047294170183
Decentralized,107,4,0.8551049882921945
Decentralized,108,1,0.3447042220069577
Decentralized,108,2,0.8765835952709685
Decentralized,108,3,0.6290519659009948
Decentralized,108,4,0.7566222073885859
Decentralized,109,1,0.43565478012981973
Decentralized,109,2,0.7136706306007194
Decentralized,109,3,0.8188149577928161
Decentralized,109,4,0.8853078433977735
Decentralized,110,1,0.8132559119864273
Decentralized,110,2,0.4827280652474157
Decentralized,110,3,0.7592701117297949
Decentralized,110,4,0.018424049222898448
Decentralized,111,1,0.22829528710911837
Decentralized,111,2,0.438406090150968
Decentralized,111,3,0.929852978286907
Decentralized,111,4,0.973552582101847
Decentralized,112,1,0.46398171640090335
Decentralized,112,2,0.4663083172602267
Decentralized,112,3,0.31800518561642666
Decentralized,112,4,0.1894870439582769
Decentralized,113,1,0.22829528710911837
Decentralized,113,2,0.997621108018455
Decentralized,113,3,0.022289778841688562
Decentralized,113,4,0.303602316205583
Decentralized,114,1,0.6366016325636009
Decentralized,114,2,0.5299444917437595
Decentralized,114,3,0.04192550267663204
Decentralized,114,4,0.03220481244153233
Decentralized,115,1,0.43565478012981973
Decentralized,115,2,0.2059247896655626
Decentralized,115,3,0.05360017679707293
Decentralized,115,4,0.6123952671513531
Decentralized,116,1,0.8501067391385259
Decentralized,116,2,0.7932222033805942
Decentralized,116,3,0.9438379994849323
Decentralized,116,4,0.982700399845855
Decentralized,117,1,0.17064906649166725
Decentralized,117,2,0.9478381261334462
Decentralized,117,3,0.031422053660897016
Decentralized,117,4,0.878584641474955
Decentralized,118,1,0.723082825198341
Decentralized,118,2,0.7010376121584729
Decentralized,118,3,0.43477401598931015
Decentralized,118,4,0.9914788758018191
Decentralized,119,1,0.5235940826586801
Decentralized,119,2,0.734207928023647
Decentralized,119,3,0.8353758860358914
Decentralized,119,4,0.18416921429564836
Decentralized,120,1,0.5390882817195949
Decentralized,120,2,0.5911249264593091
Decentralized,120,3,0.14179338690200932
Decentralized,120,4,0.659270270621457
Decentralized,121,1,0.8501067391385259
Decentralized,121,2,0.34700185073039114
Decentralized,121,3,0.9814898932282268
Decentralized,121,4,0.8734023027913355
Decentralized,122,1,0.05273704091911837
Decentralized,122,2,0.27428815468692175
Decentralized,122,3,0.6512719356112683
Decentralized,122,4,0.20323787244057268
Decentralized,123,1,0.1563757217596446
Decentralized,123,2,0.8739640474728969
Decentralized,123,3,0.40828037606977374
Decentralized,123,4,0.17070039913058072
Decentralized,124,1,0.5869067909030202
Decentralized,124,2,0.7878434057375696
Decentralized,124,3,0.3345012504280262
Decentralized,124,4,0.943813490371388
Decentralized,125,1,0.3950915849041502
Decentralized,125,2,0.1655895229060142
Decentralized,125,3,0.5649214508049876
Decentralized,125,4,0.7390038054859516
Decentralized,126,1,0.26688242103941223
Decentralized,126,2,0.31569318338547014
Decentralized,126,3,0.29434130260996527
Decentralized,126,4,0.08402448166867499
Decentralized,127,1,0.723082825198341
Decentralized,127,2,0.8672564341409096
Decentralized,127,3,0.0723601132566338
Decentralized,127,4,0.39354964679402304
Decentralized,128,1,0.46398171640090335
Decentralized,128,2,0.5934558482662278
Decentralized,128,3,0.08574968725639974
Decentralized,128,4,0.025097900544120557
Decentralized,129,1,0.1938571607281974
Decentralized,129,2,0.5559273319357921
Decentralized,129,3,0.9088760195880528
Decentralized,129,4,0.9092695832710908
Decentralized,130,1,0.028026267396619103
Decentralized,130,2,0.04694348008090749
Decentralized,130,3,0.5771444673662328
Decentralized,130,4,0.5309108633274537
Decentralized,131,1,0.3447042220069577
Decentralized,131,2,0.898538675039326
Decentralized,131,3,0.1823390316192131
Decentralized,131,4,0.2823792694137957
Decentralized,132,1,0.06539082294676217
Decentralized,132,2,0.728117401243132
Decentralized,132,3,0.9868468690155731
Decentralized,132,4,0.4413206349823676
Decentralized,133,1,0.6706835715634084
Decentralized,133,2,0.5817787169536061
Decentralized,133,3,0.1713057596251132
Decentralized,133,4,0.5768571038847699
Decentralized,134,1,0.7587702000057319
Decentralized,134,2,0.7805563583990066
Decentralized,134,3,0.36995187651129036
Decentralized,134,4,0.2272102223599583
Decentralized,135,1,0.7408568142938687
Decentralized,135,2,0.224021182622223
Decentralized,135,3,0.16377909994734882
Decentralized,135,4,0.916710594868582
Decentralized,136,1,0.9811535017561899
Decentralized,136,2,0.1153474175068887
Decentralized,136,3,0.8132610120123552
Decentralized,136,4,0.3054624128943785
Decentralized,137,1,0.17064906649166725
Decentralized,137,2,0.313654958196054
Decentralized,137,3,0.7960455829459321
Decentralized,137,4,0.5628840829289679
Decentralized,138,1,0.023342202012890837
Decentralized,138,2,0.3259786209542266
Decentralized,138,3,0.8579482183780152
Decentralized,138,4,0.2792027804344295
Decentralized,139,1,0.47852097654419784
Decentralized,139,2,0.7157541176849028
Decentralized,139,3,0.042788470269396015
Decentralized,139,4,0.5565021118662621
Decentralized,140,1,0.9811535017561899
Decentralized,140,2,0.8222583799700343
Decentralized,140,3,0.7054618607163907
Decentralized,140,4,0.5933281729440802
Decentralized,141,1,0.4083519693259383
Decentralized,141,2,0.6881880717714557
Decentralized,141,3,0.175512577236152
Decentralized,141,4,0.4642398385704516
Decentralized,142,1,0.570750388058174
Decentralized,142,2,0.1918322884558601
Decentralized,142,3,0.24859389508742818
Decentralized,142,4,0.7473000559150733
Decentralized,143,1,0.962317517108808
Decentralized,143,2,0.8071958464326228
Decentralized,143,3,0.4497074650572156
Decentralized,143,4,0.7549085444504423
Decentralized,144,1,0.30973439009669346
Decentralized,144,2,0.522850083808009
Decentralized,144,3,0.8227005298117037
Decentralized,144,4,0.7842202759517118
Decentralized,145,1,0.23754751779044125
Decentralized,145,2,0.7362242264280429
Decentralized,145,3,0.4453308160047553
Decentralized,145,4,0.6798282284147669
Decentralized,146,1,0.277192465099541
Decentralized,146,2,0.9449741681903917
Decentralized,146,3,0.12806310456196485
Decentralized,146,4,0.24346257912237348
Decentralized,147,1,0.962317517108808
Decentralized,147,2,0.9156521084275543
Decentralized,147,3,0.3820804166416807
Decentralized,147,4,0.1177147837209332
Decentralized,148,1,0.3820949220121075
Decentralized,148,2,0.5606406231887034
Decentralized,148,3,0.6134496009003895
Decentralized,148,4,0.5970946286757699
Decentralized,149,1,0.03986144622478217
Decentralized,149,2,0.1669795098822779
Decentralized,149,3,0.7928215884846436
Decentralized,149,4,0.09419278761895683
Decentralized,150,1,0.6198391186854189
Decentralized,150,2,0.4063975875408278
Decentralized,150,3,0.2031007046376335
Decentralized,150,4,0.9326875841168601
Decentralized,151,1,0.3327777660739457
Decentralized,151,2,0.8287247995050193
Decentralized,151,3,0.02409951691177552
Decentralized,151,4,0.10016927508589075
Decentralized,152,1,0.9247190374867695
Decentralized,152,2,0.43609825541451686
Decentralized,152,3,0.25679442619711307
Decentralized,152,4,0.7201275317786857
Decentralized,153,1,0.6032718849809419
Decentralized,153,2,0.09449694864496752
Decentralized,153,3,0.7974334423097641
Decentralized,153,4,0.7273609985026079
Decentralized,154,1,0.06201344706528952
Decentralized,154,2,0.8122949537378237
Decentralized,154,3,0.10937318236676108
Decentralized,154,4,0.2946721082065918
Decentralized,155,1,0.723082825198341
Decentralized,155,2,0.5370373995796408
Decentralized,155,3,0.9423212889247872
Decentralized,155,4,0.909485128673132
Decentralized,156,1,0.9247190374867695
Decentralized,156,2,0.6989106805908945
Decentralized,156,3,0.42193424933916507
Decentralized,156,4,0.4663522984536408
Decentralized,157,1,0.5548089131514959
Decentralized,157,2,0.8412302381879623
Decentralized,157,3,0.5897276924123939
Decentralized,157,4,0.9303989857288169
Decentralized,158,1,0.3693638418253291
Decentralized,158,2,0.4593001450250769
Decentralized,158,3,0.876143912815579
Decentralized,158,4,0.4153340477926163
Decentralized,159,1,0.43565478012981973
Decentralized,159,2,0.19958175502646044
Decentralized,159,3,0.528242764168499
Decentralized,159,4,0.343249442688944
Decentralized,160,1,0.0472209040035772
Decentralized,160,2,0.44071687041684376
Decentralized,160,3,0.4349679014179591
Decentralized,160,4,0.08236943219613341
Decentralized,161,1,0.3693638418253291
Decentralized,161,2,0.17693301650442772
Decentralized,161,3,0.2337358380539375
Decentralized,161,4,0.3545758062675086
Decentralized,162,1,0.8501067391385259
Decentralized,162,2,0.7321846539980043
Decentralized,162,3,0.9996634224205537
Decentralized,162,4,0.20706721388060267
Decentralized,163,1,0.25683925795785667
Decentralized,163,2,0.4593001450250769
Decentralized,163,3,0.18300770952556353
Decentralized,163,4,0.44912447065133343
Decentralized,164,1,0.21930264967931895
Decentralized,164,2,0.5724004444949802
Decentralized,164,3,0.06618579036863603
Decentralized,164,4,0.6074794362896392
Decentralized,165,1,0.29861767444881016
Decentralized,165,2,0.3427506907828054
Decentralized,165,3,0.8786964215140924
Decentralized,165,4,0.11323828445413693
Decentralized,166,1,0.6366016325636009
Decentralized,166,2,0.5629954297024093
Decentralized,166,3,0.45126008621841396
Decentralized,166,4,0.9882774363136676
Decentralized,167,1,0.26688242103941223
Decentralized,167,2,0.23953087017230026
Decentralized,167,3,0.8571915748328974
Decentralized,167,4,0.011162787106001935
Decentralized,168,1,0.7054569861112734
Decentralized,168,2,0.34700185073039114
Decentralized,168,3,0.7574815580941103
Decentralized,168,4,0.3113325598096657
Decentralized,169,1,0.5390882817195949
Decentralized,169,2,0.5252149142167285
Decentralized,169,3,0.06262537384035333
Decentralized,169,4,0.4406786880715503
Decentralized,170,1,0.44969179796889097
Decentralized,170,2,0.09634817682616434
Decentralized,170,3,0.7897608344392751
Decentralized,170,4,0.22618707286225553
Decentralized,171,1,0.3693638418253291
Decentralized,171,2,0.7442185788237144
Decentralized,171,3,0.9135130605281151
Decentralized,171,4,0.9865969163953218
Decentralized,172,1,0.5390882817195949
Decentralized,172,2,0.11428228552284285
Decentralized,172,3,0.24886062134515685
Decentralized,172,4,0.8589500152808899
Decentralized,173,1,0.6706835715634084
Decentralized,173,2,0.8686161147744618
Decentralized,173,3,0.35577418464686034
Decentralized,173,4,0.4261112697353383
Decentralized,174,1,0.037635313787314335
Decentralized,174,2,0.3385223738547644
Decentralized,174,3,0.20047536223361734
Decentralized,174,4,0.06341172173059072
Decentralized,175,1,0.8686610629910667
Decentralized,175,2,0.9788706118046911
Decentralized,175,3,0.508122917080024
Decentralized,175,4,0.5340793031902515
Decentralized,176,1,0.6032718849809419
Decentralized,176,2,0.11217411305684016
Decentralized,176,3,0.9786081508653499
Decentralized,176,4,0.5612261814410053
Decentralized,177,1,0.6879878128600834
Decentralized,177,2,0.253838004543753
Decentralized,177,3,0.7422906401869855
Decentralized,177,4,0.9512178356860964
Decentralized,178,1,0.8501067391385259
Decentralized,178,2,0.5488494547709659
Decentralized,178,3,0.6538550094500736
Decentralized,178,4,0.719839229942465
Decentralized,179,1,0.776814004155482
Decentralized,179,2,0.47802814013977113
Decentralized,179,3,0.777539145557068
Decentralized,179,4,0.49662383503643936
Decentralized,180,1,0.18587673236587599
Decentralized,180,2,0.9637709394850982
Decentralized,180,3,0.7972092950035767
Decentralized,180,4,0.1927191944702991
Decentralized,181,1,0.6879878128600834
Decentralized,181,2,0.3364169127349814
Decentralized,181,3,0.357884173276678
Decentralized,181,4,0.35096466451237096
Decentralized,182,1,0.5869067909030202
Decentralized,182,2,0.9848752139208594
Decentralized,182,3,0.07585359512342359
Decentralized,182,4,0.9894297115738899
Decentralized,183,1,0.6535522671496024
Decentralized,183,2,0.6439809737212857
Decentralized,183,3,0.009956545527944786
Decentralized,183,4,0.016226459164162765
Decentralized,184,1,0.8132559119864273
Decentralized,184,2,0.6462359066827525
