[18:45:12.833], CLIENT, 67, -->, STTP, 16, list, 14e04559, ROUTE, , , 
[18:45:12.834], CLIENT, 67, -->, STTP, 14, list, 14e04559, ROUTE, , , 
[18:45:12.834], CLIENT, 67, -->, STTP, 2, list, 14e04559, ROUTE, , , 
[18:45:12.834], CLIENT, 67, -->, STTP, 1, list, 14e04559, ROUTE, , , 
[18:45:12.834], CLIENT, 67, -->, STTP, 8, list, 14e04559, ROUTE, , , 
[18:45:12.839], CLIENT, 67, <--, STTP, 16, list, 6842fda9, ROUTE, , , 
[18:45:12.840], CLIENT, 67, <--, STTP, 2, list, f1ad3361, ROUTE, , , 
[18:45:12.842], CLIENT, 67, <--, STTP, 8, list, f874aac9, ROUTE, , , 
[18:45:12.843], CLIENT, 67, <--, STTP, 14, list, eadbccb8, ROUTE, , , 
[18:45:12.845], CLIENT, 67, <--, STTP, 1, list, b6d1afab, ROUTE, , , 
[18:45:12.856], CLIENT, 67, , , , , , query_route, CPU: 21.840752 ms, wall: 22.934830 ms, 
[18:45:12.857], CLIENT, 67, , , , , , shared_secret_rerandomization, CPU: 1.065968 ms, wall: 1.073561 ms, 
[18:45:12.859], CLIENT, 67, , , , , , compute_gamma, CPU: 0.202172 ms, wall: 0.202114 ms, 
[18:45:12.859], CLIENT, 67, , , , , , initial_layer, CPU: 1.710737 ms, wall: 1.719423 ms, 
[18:45:12.860], CLIENT, 67, , , , , , compute_gamma, CPU: 0.190529 ms, wall: 0.190519 ms, 
[18:45:12.860], CLIENT, 67, , , , , , add_layer, CPU: 0.864306 ms, wall: 0.864217 ms, 
[18:45:12.861], CLIENT, 67, , , , , , compute_gamma, CPU: 0.147933 ms, wall: 0.148017 ms, 
[18:45:12.861], CLIENT, 67, , , , , , add_layer, CPU: 0.804471 ms, wall: 0.804394 ms, 
[18:45:12.862], CLIENT, 67, , , , , , compute_gamma, CPU: 0.202149 ms, wall: 0.202156 ms, 
[18:45:12.862], CLIENT, 67, , , , , , add_layer, CPU: 0.875821 ms, wall: 0.879217 ms, 
[18:45:12.863], CLIENT, 67, , , , , , compute_gamma, CPU: 0.190523 ms, wall: 0.189176 ms, 
[18:45:12.863], CLIENT, 67, , , , , , add_layer, CPU: 0.996249 ms, wall: 1.001745 ms, 
[18:45:12.863], CLIENT, 67, , , , , , compute_layers, CPU: 5.468166 ms, wall: 5.488990 ms, 
[18:45:12.863], CLIENT, 67, , , , , , build_packet, CPU: 29.694299 ms, wall: 30.824527 ms, 
[18:45:12.863], CLIENT, 67, -->, MIX, 7, Header, 5d3727a2, RUN, , , 
[18:45:12.884], CLIENT, 67, <--, MIX, 3, Header, 24019a4f, RUN, , , 
