[18:45:12.753], CLIENT, 91, -->, STTP, 1, list, 92150671, ROUTE, , , 
[18:45:12.753], CLIENT, 91, -->, STTP, 5, list, 92150671, ROUTE, , , 
[18:45:12.754], CLIENT, 91, -->, STTP, 19, list, 92150671, ROUTE, , , 
[18:45:12.754], CLIENT, 91, -->, STTP, 8, list, 92150671, ROUTE, , , 
[18:45:12.754], CLIENT, 91, -->, STTP, 0, list, 92150671, ROUTE, , , 
[18:45:12.757], CLIENT, 91, <--, STTP, 8, list, 3ccf53c4, ROUTE, , , 
[18:45:12.759], CLIENT, 91, <--, STTP, 1, list, 362232b1, ROUTE, , , 
[18:45:12.760], CLIENT, 91, <--, STTP, 5, list, ba6c3ac0, ROUTE, , , 
[18:45:12.762], CLIENT, 91, <--, STTP, 19, list, 2add67de, ROUTE, , , 
