[18:45:13.123], CLIENT, 72, -->, STTP, 8, list, 96c88920, ROUTE, , , 
[18:45:13.125], CLIENT, 72, -->, STTP, 12, list, 96c88920, ROUTE, , , 
[18:45:13.125], CLIENT, 72, -->, STTP, 9, list, 96c88920, ROUTE, , , 
[18:45:13.126], CLIENT, 72, -->, STTP, 11, list, 96c88920, ROUTE, , , 
[18:45:13.126], CLIENT, 72, -->, STTP, 17, list, 96c88920, ROUTE, , , 
[18:45:13.129], CLIENT, 72, <--, STTP, 12, list, 0dc61841, ROUTE, , , 
[18:45:13.131], CLIENT, 72, <--, STTP, 9, list, 220373bb, ROUTE, , , 
[18:45:13.133], CLIENT, 72, <--, STTP, 11, list, 27daf571, ROUTE, , , 
[18:45:13.136], CLIENT, 72, <--, STTP, 8, list, 9e848e9f, ROUTE, , , 
[18:45:13.137], CLIENT, 72, <--, STTP, 17, list, 47d996ce, ROUTE, , , 
[18:45:13.153], CLIENT, 72, , , , , , query_route, CPU: 27.064017 ms, wall: 29.734392 ms, 
[18:45:13.155], CLIENT, 72, , , , , , shared_secret_rerandomization, CPU: 1.439395 ms, wall: 1.446464 ms, 
[18:45:13.157], CLIENT, 72, , , , , , compute_gamma, CPU: 0.376442 ms, wall: 0.382201 ms, 
[18:45:13.157], CLIENT, 72, , , , , , initial_layer, CPU: 2.447164 ms, wall: 2.467374 ms, 
[18:45:13.158], CLIENT, 72, , , , , , compute_gamma, CPU: 0.250684 ms, wall: 0.250889 ms, 
[18:45:13.159], CLIENT, 72, , , , , , add_layer, CPU: 1.322647 ms, wall: 1.330943 ms, 
[18:45:13.160], CLIENT, 72, , , , , , compute_gamma, CPU: 0.292077 ms, wall: 0.291154 ms, 
[18:45:13.160], CLIENT, 72, , , , , , add_layer, CPU: 1.386070 ms, wall: 1.401232 ms, 
[18:45:13.161], CLIENT, 72, , , , , , compute_gamma, CPU: 0.340182 ms, wall: 0.339727 ms, 
[18:45:13.162], CLIENT, 72, , , , , , add_layer, CPU: 1.425568 ms, wall: 1.434012 ms, 
[18:45:13.163], CLIENT, 72, , , , , , compute_gamma, CPU: 0.241694 ms, wall: 0.241373 ms, 
[18:45:13.163], CLIENT, 72, , , , , , add_layer, CPU: 1.297074 ms, wall: 1.302910 ms, 
[18:45:13.163], CLIENT, 72, , , , , , compute_layers, CPU: 8.267856 ms, wall: 8.330483 ms, 
[18:45:13.163], CLIENT, 72, , , , , , build_packet, CPU: 38.441383 ms, wall: 41.193194 ms, 
[18:45:13.163], CLIENT, 72, -->, MIX, 49, Header, 592e2e1c, RUN, , , 
[18:45:13.190], CLIENT, 72, <--, MIX, 47, Header, c6de8e6b, RUN, , , 
