[18:45:13.094], CLIENT, 64, -->, STTP, 13, list, 3f778787, ROUTE, , , 
[18:45:13.094], CLIENT, 64, -->, STTP, 3, list, 3f778787, ROUTE, , , 
[18:45:13.094], CLIENT, 64, -->, STTP, 9, list, 3f778787, ROUTE, , , 
[18:45:13.094], CLIENT, 64, -->, STTP, 16, list, 3f778787, ROUTE, , , 
[18:45:13.095], CLIENT, 64, -->, STTP, 0, list, 3f778787, ROUTE, , , 
[18:45:13.097], CLIENT, 64, <--, STTP, 13, list, bceba4cb, ROUTE, , , 
[18:45:13.100], CLIENT, 64, <--, STTP, 3, list, 4312dbc5, ROUTE, , , 
[18:45:13.101], CLIENT, 64, <--, STTP, 16, list, bac90cbc, ROUTE, , , 
[18:45:13.103], CLIENT, 64, <--, STTP, 9, list, 666039c9, ROUTE, , , 
