[18:45:13.070], CLIENT, 38, -->, STTP, 17, list, e2996dd0, ROUTE, , , 
[18:45:13.070], CLIENT, 38, -->, STTP, 11, list, e2996dd0, ROUTE, , , 
[18:45:13.070], CLIENT, 38, -->, STTP, 14, list, e2996dd0, ROUTE, , , 
[18:45:13.070], CLIENT, 38, -->, STTP, 1, list, e2996dd0, ROUTE, , , 
[18:45:13.070], CLIENT, 38, -->, STTP, 0, list, e2996dd0, ROUTE, , , 
[18:45:13.075], CLIENT, 38, <--, STTP, 17, list, 273cd54b, ROUTE, , , 
[18:45:13.080], CLIENT, 38, <--, STTP, 14, list, 5e15c864, ROUTE, , , 
[18:45:13.084], CLIENT, 38, <--, STTP, 1, list, cfcd257c, ROUTE, , , 
[18:45:13.088], CLIENT, 38, <--, STTP, 11, list, 62ce66e1, ROUTE, , , 
